style_key,term,unmapped_reason
Baby/Children || Bag || Accessories || Pink || Solid,pink bag,
Baby/Children || Dress || Dresses/Skirts girls || Blue || Stripe,blue dress,
Baby/Children || Dress || Dresses/Skirts girls || Pink || All over pattern,pink dress,
Baby/Children || Dress || Dresses/Skirts girls || Pink || Application/3D,pink dress,
Baby/Children || Dress || Dresses/Skirts girls || Pink || Solid,pink dress,
Baby/Children || Dress || Dresses/Skirts girls || Red || All over pattern,red dress,
Baby/Children || Dress || Dresses/Skirts girls || Red || Check,red dress,
Baby/Children || Dress || Dresses/Skirts girls || White || All over pattern,white dress,
Baby/Children || Dress || Jersey Basic || Black || Solid,black dress,
Baby/Children || Dress || Jersey Basic || Blue || All over pattern,blue dress,
Baby/Children || Dress || Jersey Basic || Pink || All over pattern,pink dress,
Baby/Children || Dress || Jersey Basic || White || Stripe,white dress,
Baby/Children || Dress || Jersey Fancy || Beige || All over pattern,beige dress,
Baby/Children || Dress || Jersey Fancy || Black || Solid,black dress,
Baby/Children || Dress || Jersey Fancy || Blue || All over pattern,blue dress,
Baby/Children || Dress || Jersey Fancy || Green || All over pattern,green dress,
Baby/Children || Dress || Jersey Fancy || Grey || All over pattern,grey dress,
Baby/Children || Dress || Jersey Fancy || Grey || Placement print,grey dress,
Baby/Children || Dress || Jersey Fancy || Pink || All over pattern,pink dress,
Baby/Children || Dress || Jersey Fancy || Pink || Lace,pink dress,
Baby/Children || Dress || Jersey Fancy || Pink || Placement print,pink dress,
Baby/Children || Dress || Jersey Fancy || Pink || Solid,pink dress,
Baby/Children || Dress || Jersey Fancy || Red || All over pattern,red dress,
Baby/Children || Dress || Jersey Fancy || Red || Solid,red dress,
Baby/Children || Dress || Jersey Fancy || White || All over pattern,white dress,
Baby/Children || Dress || Jersey Fancy || White || Glittering/Metallic,white dress,
Baby/Children || Dress || Jersey Fancy || White || Lace,white dress,
Baby/Children || Dress || Jersey Fancy || Yellow || All over pattern,yellow dress,
Baby/Children || Dress || Woven/Jersey/Knitted mix Baby || Blue || All over pattern,blue dress,
Baby/Children || Dress || Woven/Jersey/Knitted mix Baby || Blue || Chambray,blue dress,
Baby/Children || Dress || Woven/Jersey/Knitted mix Baby || Blue || Denim,blue dress,
Baby/Children || Dress || Woven/Jersey/Knitted mix Baby || Pink || Solid,pink dress,
Baby/Children || Dress || Woven/Jersey/Knitted mix Baby || Red || Solid,red dress,
Baby/Children || Dungarees || Trousers Denim || Blue || Denim,blue dungarees,
Baby/Children || Dungarees || Woven/Jersey/Knitted mix Baby || Blue || Denim,blue dungarees,
Baby/Children || Fine cosmetics || Accessories || Pink || Solid,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Beige || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Blue || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Blue || Stripe,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Brown || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Brown || Stripe,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Grey || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Grey || Melange,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Grey || Placement print,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Pink || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Pink || Front print,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Pink || Solid,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Red || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || Turquoise || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || White || All over pattern,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || White || Front print,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || White || Placement print,,product type unmapped
Baby/Children || Garment Set || Jersey Fancy || White || Solid,,product type unmapped
Baby/Children || Garment Set || Woven/Jersey/Knitted mix Baby || Blue || All over pattern,,product type unmapped
Baby/Children || Garment Set || Woven/Jersey/Knitted mix Baby || Blue || Denim,,product type unmapped
Baby/Children || Garment Set || Woven/Jersey/Knitted mix Baby || Blue || Solid,,product type unmapped
Baby/Children || Garment Set || Woven/Jersey/Knitted mix Baby || Pink || All over pattern,,product type unmapped
Baby/Children || Garment Set || Woven/Jersey/Knitted mix Baby || White || Solid,,product type unmapped
Baby/Children || Gloves || Accessories || Black || Solid,black gloves,
Baby/Children || Gloves || Accessories || Blue || Solid,blue gloves,
Baby/Children || Gloves || Accessories || Grey || Solid,grey gloves,
Baby/Children || Gloves || Accessories || Pink || Solid,pink gloves,
Baby/Children || Hair clip || Accessories || Pink || Solid,pink hair clip,
Baby/Children || Hair string || Accessories || Blue || Solid,,product type unmapped
Baby/Children || Hair string || Accessories || Pink || Solid,,product type unmapped
Baby/Children || Hair/alice band || Accessories || Blue || Solid,blue headband,
Baby/Children || Hair/alice band || Accessories || Metal || Solid,,colour unmapped
Baby/Children || Hair/alice band || Accessories || Pink || Solid,pink headband,
Baby/Children || Hair/alice band || Accessories || Red || Solid,red headband,
Baby/Children || Hat/beanie || Accessories || Blue || Solid,blue beanie,
Baby/Children || Hat/beanie || Accessories || Grey || Melange,grey beanie,
Baby/Children || Hat/beanie || Accessories || Grey || Solid,grey beanie,
Baby/Children || Hat/beanie || Accessories || Pink || Solid,pink beanie,
Baby/Children || Hat/beanie || Accessories || White || Solid,white beanie,
Baby/Children || Hat/brim || Accessories || Beige || Solid,beige hat,
Baby/Children || Hoodie || Jersey Basic || Black || Solid,black hoodie,
Baby/Children || Hoodie || Jersey Basic || Blue || Solid,blue hoodie,
Baby/Children || Hoodie || Jersey Basic || Grey || All over pattern,grey hoodie,
Baby/Children || Hoodie || Jersey Basic || Grey || Melange,grey hoodie,
Baby/Children || Hoodie || Jersey Basic || Khaki green || Solid,khaki hoodie,
Baby/Children || Hoodie || Jersey Basic || Red || Solid,red hoodie,
Baby/Children || Hoodie || Jersey Basic || Yellow || Solid,yellow hoodie,
Baby/Children || Hoodie || Jersey Fancy || Black || Colour blocking,black hoodie,
Baby/Children || Hoodie || Jersey Fancy || Black || Front print,black hoodie,
Baby/Children || Hoodie || Jersey Fancy || Black || Placement print,black hoodie,
Baby/Children || Hoodie || Jersey Fancy || Blue || All over pattern,blue hoodie,
Baby/Children || Hoodie || Jersey Fancy || Blue || Application/3D,blue hoodie,
Baby/Children || Hoodie || Jersey Fancy || Blue || Colour blocking,blue hoodie,
Baby/Children || Hoodie || Jersey Fancy || Blue || Front print,blue hoodie,
Baby/Children || Hoodie || Jersey Fancy || Blue || Placement print,blue hoodie,
Baby/Children || Hoodie || Jersey Fancy || Blue || Sequin,blue hoodie,
Baby/Children || Hoodie || Jersey Fancy || Green || All over pattern,green hoodie,
Baby/Children || Hoodie || Jersey Fancy || Grey || All over pattern,grey hoodie,
Baby/Children || Hoodie || Jersey Fancy || Grey || Front print,grey hoodie,
Baby/Children || Hoodie || Jersey Fancy || Grey || Placement print,grey hoodie,
Baby/Children || Hoodie || Jersey Fancy || Red || Colour blocking,red hoodie,
Baby/Children || Hoodie || Jersey Fancy || Red || Front print,red hoodie,
Baby/Children || Hoodie || Jersey Fancy || White || Front print,white hoodie,
Baby/Children || Hoodie || Jersey Fancy || White || Placement print,white hoodie,
Baby/Children || Jacket || Outdoor || Beige || Solid,beige jacket,
Baby/Children || Jacket || Outdoor || Black || Colour blocking,black jacket,
Baby/Children || Jacket || Outdoor || Black || Melange,black jacket,
Baby/Children || Jacket || Outdoor || Black || Solid,black jacket,
Baby/Children || Jacket || Outdoor || Blue || All over pattern,blue jacket,
Baby/Children || Jacket || Outdoor || Blue || Colour blocking,blue jacket,
Baby/Children || Jacket || Outdoor || Blue || Melange,blue jacket,
Baby/Children || Jacket || Outdoor || Blue || Solid,blue jacket,
Baby/Children || Jacket || Outdoor || Green || Solid,green jacket,
Baby/Children || Jacket || Outdoor || Grey || Melange,grey jacket,
Baby/Children || Jacket || Outdoor || Khaki green || Solid,khaki jacket,
Baby/Children || Jacket || Outdoor || Pink || All over pattern,pink jacket,
Baby/Children || Jacket || Outdoor || Pink || Solid,pink jacket,
Baby/Children || Jacket || Outdoor || Red || Solid,red jacket,
Baby/Children || Jacket || Outdoor || White || Solid,white jacket,
Baby/Children || Jacket || Outdoor || Yellow || Solid,yellow jacket,
Baby/Children || Jacket || Trousers Denim || Blue || Denim,blue jacket,
Baby/Children || Jumpsuit/Playsuit || Dresses/Skirts girls || Blue || All over pattern,blue jumpsuit,
Baby/Children || Jumpsuit/Playsuit || Jersey Fancy || Blue || Stripe,blue jumpsuit,
Baby/Children || Jumpsuit/Playsuit || Jersey Fancy || Grey || All over pattern,grey jumpsuit,
Baby/Children || Jumpsuit/Playsuit || Jersey Fancy || Grey || Melange,grey jumpsuit,
Baby/Children || Jumpsuit/Playsuit || Jersey Fancy || White || All over pattern,white jumpsuit,
Baby/Children || Jumpsuit/Playsuit || Jersey Fancy || White || Solid,white jumpsuit,
"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",,product type unmapped
"Baby/Children || Kids Underwear top || Under-, Nightwear || Grey || Solid",,product type unmapped
"Baby/Children || Kids Underwear top || Under-, Nightwear || White || Solid",,product type unmapped
Baby/Children || Leggings/Tights || Jersey Basic || Black || All over pattern,black leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Black || Colour blocking,black leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Black || Solid,black leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Blue || All over pattern,blue leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Blue || Solid,blue leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Grey || All over pattern,grey leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Pink || All over pattern,pink leggings,
Baby/Children || Leggings/Tights || Jersey Basic || Pink || Solid,pink leggings,
Baby/Children || Leggings/Tights || Jersey Basic || White || Solid,white leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Black || All over pattern,black leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Black || Check,black leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Black || Placement print,black leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Black || Solid,black leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Blue || All over pattern,blue leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Blue || Solid,blue leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Blue || Treatment,blue leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Grey || All over pattern,grey leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Grey || Solid,grey leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Grey || Treatment,grey leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || Pink || All over pattern,pink leggings,
Baby/Children || Leggings/Tights || Jersey Fancy || White || All over pattern,white leggings,
Baby/Children || Leggings/Tights || Trousers Denim || Blue || Denim,blue leggings,
Baby/Children || Other accessories || Accessories || Black || Solid,,product type unmapped
Baby/Children || Other accessories || Accessories || Pink || Solid,,product type unmapped
Baby/Children || Outdoor Waistcoat || Outdoor || Blue || Solid,,product type unmapped
Baby/Children || Outdoor Waistcoat || Outdoor || Khaki green || Solid,,product type unmapped
Baby/Children || Polo shirt || Jersey Fancy || Blue || Solid,blue polo shirt,
Baby/Children || Polo shirt || Jersey Fancy || Blue || Stripe,blue polo shirt,
Baby/Children || Polo shirt || Jersey Fancy || White || Solid,white polo shirt,
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || Blue || All over pattern",,product type unmapped
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || Grey || All over pattern",,product type unmapped
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || Pink || All over pattern",,product type unmapped
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || White || All over pattern",,product type unmapped
"Baby/Children || Pyjama set || Under-, Nightwear || Blue || All over pattern",blue pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Blue || Front print",blue pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Blue || Mixed solid/pattern",blue pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Blue || Placement print",blue pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Blue || Stripe",blue pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Grey || All over pattern",grey pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Grey || Front print",grey pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Grey || Placement print",grey pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Red || Check",red pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Red || Placement print",red pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || Turquoise || All over pattern",turquoise pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || White || All over pattern",white pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || White || Front print",white pyjamas,
"Baby/Children || Pyjama set || Under-, Nightwear || White || Placement print",white pyjamas,
Baby/Children || Sandals || Shoes || Blue || Solid,blue sandals,
Baby/Children || Sandals || Shoes || White || Solid,white sandals,
Baby/Children || Scarf || Accessories || Blue || Solid,blue scarf,
Baby/Children || Scarf || Accessories || Grey || Melange,grey scarf,
Baby/Children || Scarf || Accessories || Pink || Solid,pink scarf,
Baby/Children || Scarf || Accessories || White || Solid,white scarf,
Baby/Children || Shirt || Dresses/Skirts girls || Blue || Check,blue shirt,
Baby/Children || Shirt || Dresses/Skirts girls || Pink || Check,pink shirt,
Baby/Children || Shirt || Shirts || Black || Solid,black shirt,
Baby/Children || Shirt || Shirts || Blue || All over pattern,blue shirt,
Baby/Children || Shirt || Shirts || Blue || Check,blue shirt,
Baby/Children || Shirt || Shirts || Blue || Dot,blue shirt,
Baby/Children || Shirt || Shirts || Blue || Melange,blue shirt,
Baby/Children || Shirt || Shirts || Blue || Other structure,blue shirt,
Baby/Children || Shirt || Shirts || Blue || Solid,blue shirt,
Baby/Children || Shirt || Shirts || Blue || Stripe,blue shirt,
Baby/Children || Shirt || Shirts || Red || Check,red shirt,
Baby/Children || Shirt || Shirts || Red || Solid,red shirt,
Baby/Children || Shirt || Shirts || White || All over pattern,white shirt,
Baby/Children || Shirt || Shirts || White || Solid,white shirt,
Baby/Children || Shirt || Special Offers || White || Solid,white shirt,
Baby/Children || Shirt || Woven/Jersey/Knitted mix Baby || Blue || Denim,blue shirt,
Baby/Children || Shirt || Woven/Jersey/Knitted mix Baby || Blue || Solid,blue shirt,
Baby/Children || Shirt || Woven/Jersey/Knitted mix Baby || Red || Check,red shirt,
Baby/Children || Shirt || Woven/Jersey/Knitted mix Baby || White || Solid,white shirt,
Baby/Children || Shorts || Jersey Basic || Black || Melange,black shorts,
Baby/Children || Shorts || Jersey Basic || Black || Solid,black shorts,
Baby/Children || Shorts || Jersey Basic || Blue || Solid,blue shorts,
Baby/Children || Shorts || Jersey Basic || Grey || Solid,grey shorts,
Baby/Children || Shorts || Jersey Basic || White || Stripe,white shorts,
Baby/Children || Shorts || Jersey Fancy || Black || All over pattern,black shorts,
Baby/Children || Shorts || Jersey Fancy || Blue || All over pattern,blue shorts,
Baby/Children || Shorts || Jersey Fancy || Blue || Melange,blue shorts,
Baby/Children || Shorts || Jersey Fancy || Blue || Placement print,blue shorts,
Baby/Children || Shorts || Jersey Fancy || Grey || All over pattern,grey shorts,
Baby/Children || Shorts || Jersey Fancy || Grey || Placement print,grey shorts,
Baby/Children || Shorts || Shorts || Beige || Solid,beige shorts,
Baby/Children || Shorts || Shorts || Black || Solid,black shorts,
Baby/Children || Shorts || Shorts || Blue || All over pattern,blue shorts,
Baby/Children || Shorts || Shorts || Blue || Other structure,blue shorts,
Baby/Children || Shorts || Shorts || Blue || Solid,blue shorts,
Baby/Children || Shorts || Shorts || Blue || Stripe,blue shorts,
Baby/Children || Shorts || Shorts || Grey || Solid,grey shorts,
Baby/Children || Shorts || Trousers Denim || Black || Denim,black shorts,
Baby/Children || Shorts || Trousers Denim || Blue || Denim,blue shorts,
Baby/Children || Shorts || Trousers Denim || Blue || Solid,blue shorts,
Baby/Children || Shorts || Trousers Denim || Grey || Denim,grey shorts,
Baby/Children || Shorts || Trousers || Black || Solid,black shorts,
Baby/Children || Shorts || Trousers || Blue || Solid,blue shorts,
Baby/Children || Shorts || Trousers || Khaki green || Solid,khaki shorts,
Baby/Children || Shorts || Trousers || Pink || Solid,pink shorts,
Baby/Children || Shorts || Trousers || White || Solid,white shorts,
Baby/Children || Shorts || Woven/Jersey/Knitted mix Baby || Blue || Denim,blue shorts,
Baby/Children || Shorts || Woven/Jersey/Knitted mix Baby || Blue || Solid,blue shorts,
Baby/Children || Skirt || Dresses/Skirts girls || Black || Solid,black skirt,
Baby/Children || Skirt || Dresses/Skirts girls || Blue || Solid,blue skirt,
Baby/Children || Skirt || Dresses/Skirts girls || Pink || Solid,pink skirt,
Baby/Children || Skirt || Jersey Basic || Black || Solid,black skirt,
Baby/Children || Skirt || Trousers Denim || Blue || Denim,blue skirt,
Baby/Children || Slippers || Shoes || White || Solid,white slippers,
Baby/Children || Sneakers || Shoes || Black || Solid,black sneakers,
Baby/Children || Sneakers || Shoes || Blue || All over pattern,blue sneakers,
Baby/Children || Sneakers || Shoes || Blue || Chambray,blue sneakers,
Baby/Children || Sneakers || Shoes || Blue || Solid,blue sneakers,
Baby/Children || Sneakers || Shoes || Brown || Solid,brown sneakers,
Baby/Children || Sneakers || Shoes || Khaki green || Solid,khaki sneakers,
Baby/Children || Sneakers || Shoes || Pink || Solid,pink sneakers,
Baby/Children || Sneakers || Shoes || White || Solid,white sneakers,
Baby/Children || Socks || Socks and Tights || Black || Other pattern,black socks,
Baby/Children || Socks || Socks and Tights || Black || Solid,black socks,
Baby/Children || Socks || Socks and Tights || Blue || All over pattern,blue socks,
Baby/Children || Socks || Socks and Tights || Blue || Colour blocking,blue socks,
Baby/Children || Socks || Socks and Tights || Blue || Solid,blue socks,
Baby/Children || Socks || Socks and Tights || Blue || Stripe,blue socks,
Baby/Children || Socks || Socks and Tights || Grey || All over pattern,grey socks,
Baby/Children || Socks || Socks and Tights || Grey || Melange,grey socks,
Baby/Children || Socks || Socks and Tights || Grey || Other pattern,grey socks,
Baby/Children || Socks || Socks and Tights || Grey || Solid,grey socks,
Baby/Children || Socks || Socks and Tights || Pink || All over pattern,pink socks,
Baby/Children || Socks || Socks and Tights || Pink || Other pattern,pink socks,
Baby/Children || Socks || Socks and Tights || Pink || Solid,pink socks,
Baby/Children || Socks || Socks and Tights || White || Other pattern,white socks,
Baby/Children || Socks || Socks and Tights || White || Solid,white socks,
Baby/Children || Sunglasses || Accessories || Pink || Solid,pink sunglasses,
Baby/Children || Sweater || Jersey Basic || Black || Solid,black sweater,
Baby/Children || Sweater || Jersey Basic || Blue || All over pattern,blue sweater,
Baby/Children || Sweater || Jersey Basic || Blue || Solid,blue sweater,
Baby/Children || Sweater || Jersey Basic || Grey || All over pattern,grey sweater,
Baby/Children || Sweater || Jersey Basic || Grey || Melange,grey sweater,
Baby/Children || Sweater || Jersey Basic || Pink || All over pattern,pink sweater,
Baby/Children || Sweater || Jersey Basic || Pink || Solid,pink sweater,
Baby/Children || Sweater || Jersey Fancy || Beige || All over pattern,beige sweater,
Baby/Children || Sweater || Jersey Fancy || Black || All over pattern,black sweater,
Baby/Children || Sweater || Jersey Fancy || Black || Front print,black sweater,
Baby/Children || Sweater || Jersey Fancy || Black || Placement print,black sweater,
Baby/Children || Sweater || Jersey Fancy || Black || Sequin,black sweater,
Baby/Children || Sweater || Jersey Fancy || Blue || All over pattern,blue sweater,
Baby/Children || Sweater || Jersey Fancy || Blue || Application/3D,blue sweater,
Baby/Children || Sweater || Jersey Fancy || Blue || Colour blocking,blue sweater,
Baby/Children || Sweater || Jersey Fancy || Blue || Front print,blue sweater,
Baby/Children || Sweater || Jersey Fancy || Blue || Placement print,blue sweater,
Baby/Children || Sweater || Jersey Fancy || Blue || Stripe,blue sweater,
Baby/Children || Sweater || Jersey Fancy || Green || Application/3D,green sweater,
Baby/Children || Sweater || Jersey Fancy || Grey || All over pattern,grey sweater,
Baby/Children || Sweater || Jersey Fancy || Grey || Application/3D,grey sweater,
Baby/Children || Sweater || Jersey Fancy || Grey || Front print,grey sweater,
Baby/Children || Sweater || Jersey Fancy || Grey || Melange,grey sweater,
Baby/Children || Sweater || Jersey Fancy || Grey || Placement print,grey sweater,
Baby/Children || Sweater || Jersey Fancy || Grey || Sequin,grey sweater,
Baby/Children || Sweater || Jersey Fancy || Khaki green || Front print,khaki sweater,
Baby/Children || Sweater || Jersey Fancy || Khaki green || Placement print,khaki sweater,
Baby/Children || Sweater || Jersey Fancy || Orange || Front print,orange sweater,
Baby/Children || Sweater || Jersey Fancy || Pink || All over pattern,pink sweater,
Baby/Children || Sweater || Jersey Fancy || Pink || Front print,pink sweater,
Baby/Children || Sweater || Jersey Fancy || Red || Front print,red sweater,
Baby/Children || Sweater || Jersey Fancy || Red || Stripe,red sweater,
Baby/Children || Sweater || Jersey Fancy || White || All over pattern,white sweater,
Baby/Children || Sweater || Jersey Fancy || White || Application/3D,white sweater,
Baby/Children || Sweater || Jersey Fancy || White || Front print,white sweater,
Baby/Children || Sweater || Jersey Fancy || White || Placement print,white sweater,
Baby/Children || Sweater || Jersey Fancy || White || Stripe,white sweater,
Baby/Children || Sweater || Jersey Fancy || Yellow || Front print,yellow sweater,
Baby/Children || Sweater || Knitwear || Beige || Melange,beige sweater,
Baby/Children || Sweater || Knitwear || Black || Solid,black sweater,
Baby/Children || Sweater || Knitwear || Black || Stripe,black sweater,
Baby/Children || Sweater || Knitwear || Blue || All over pattern,blue sweater,
Baby/Children || Sweater || Knitwear || Blue || Application/3D,blue sweater,
Baby/Children || Sweater || Knitwear || Blue || Front print,blue sweater,
Baby/Children || Sweater || Knitwear || Blue || Jacquard,blue sweater,
Baby/Children || Sweater || Knitwear || Blue || Melange,blue sweater,
Baby/Children || Sweater || Knitwear || Blue || Solid,blue sweater,
Baby/Children || Sweater || Knitwear || Blue || Stripe,blue sweater,
Baby/Children || Sweater || Knitwear || Grey || All over pattern,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Application/3D,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Front print,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Jacquard,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Melange,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Sequin,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Solid,grey sweater,
Baby/Children || Sweater || Knitwear || Grey || Stripe,grey sweater,
Baby/Children || Sweater || Knitwear || Pink || Solid,pink sweater,
Baby/Children || Sweater || Knitwear || Red || Melange,red sweater,
Baby/Children || Sweater || Knitwear || Red || Solid,red sweater,
Baby/Children || Sweater || Knitwear || Red || Stripe,red sweater,
Baby/Children || Sweater || Knitwear || White || Solid,white sweater,
Baby/Children || Sweater || Knitwear || White || Stripe,white sweater,
Baby/Children || Sweater || Knitwear || Yellow || Stripe,yellow sweater,
Baby/Children || Swimsuit || Swimwear || Pink || All over pattern,pink swimsuit,
Baby/Children || Swimwear bottom || Swimwear || Blue || All over pattern,blue bikini bottoms,
Baby/Children || Swimwear set || Swimwear || Black || All over pattern,black bikini,
Baby/Children || Swimwear set || Swimwear || Blue || All over pattern,blue bikini,
Baby/Children || Swimwear set || Swimwear || Blue || Stripe,blue bikini,
Baby/Children || Swimwear set || Swimwear || Pink || All over pattern,pink bikini,
Baby/Children || Swimwear set || Swimwear || Turquoise || All over pattern,turquoise bikini,
Baby/Children || Swimwear set || Swimwear || Turquoise || Lace,turquoise bikini,
Baby/Children || T-shirt || Jersey Basic || Black || Solid,black t-shirt,
Baby/Children || T-shirt || Jersey Basic || Blue || All over pattern,blue t-shirt,
Baby/Children || T-shirt || Jersey Basic || Blue || Solid,blue t-shirt,
Baby/Children || T-shirt || Jersey Basic || Blue || Stripe,blue t-shirt,
Baby/Children || T-shirt || Jersey Basic || Green || Solid,green t-shirt,
