style_key,class,n_photos_requested,n_photos_ok,n_fallback,raw_threshold
Ladieswear || Leggings/Tights || Socks and Tights || Black || Solid,solid,8,8,0,5.340402057436483
Ladieswear || Dress || Dresses Ladies || Red || Solid,solid,8,8,0,7.513685572323304
Ladieswear || Dress || Blouses || Yellow || All over pattern,patterned,8,8,1,20.764659448391136
Ladieswear || Blouse || Blouses || Black || Check,patterned,8,8,0,12.73228134405664
Sport || Vest top || Jersey Fancy || Khaki green || Solid,solid,8,8,0,15.74198755611461
Divided || Shirt || Blouses || Pink || Stripe,patterned,5,5,0,6.012109459868126
Ladieswear || Jacket || Outdoor || White || Solid,solid,8,8,0,5.684685166997579
Baby/Children || Dress || Dresses/Skirts girls || White || All over pattern,patterned,8,8,1,5.319606242524473
Sport || Vest top || Jersey Fancy || Black || Melange,solid,8,8,0,2.9099721337400575
Ladieswear || Top || Jersey Fancy || Black || Dot,patterned,8,8,0,3.9392947872796023
Menswear || Sweater || Jersey Basic || Khaki green || Solid,solid,5,5,0,7.217638819827029
Baby/Children || Leggings/Tights || Jersey Fancy || Blue || All over pattern,patterned,8,8,0,24.565008591969594
Ladieswear || Swimsuit || Swimwear || Black || Other structure,patterned,6,6,0,13.484244874461051
Ladieswear || Bikini top || Swimwear || Blue || All over pattern,patterned,8,8,0,11.072585907149385
Ladieswear || Top || Jersey Fancy || Black || Other structure,patterned,8,8,0,8.147473453527848
Ladieswear || Hat/brim || Accessories || Beige || Solid,solid,8,8,0,5.048268115625908
Ladieswear || Belt || Accessories || Black || Application/3D,patterned,8,8,0,3.190917590796136
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",solid,8,8,0,12.542426636135023
Menswear || Trousers || Trousers || Blue || Other structure,patterned,8,8,0,9.932694504654677
Baby/Children || T-shirt || Jersey Fancy || Beige || All over pattern,patterned,8,8,1,26.9488239634158
Baby/Children || Sweater || Knitwear || Grey || Stripe,patterned,8,8,0,14.333780122994266
Ladieswear || Dress || Dresses Ladies || Yellow || All over pattern,patterned,8,8,1,19.70020406711874
Ladieswear || Skirt || Skirts || Black || Stripe,patterned,8,8,0,9.2468548170918
Ladieswear || Leggings/Tights || Jersey Fancy || Black || All over pattern,patterned,8,8,0,6.680488457415178
Divided || Trousers || Trousers || Grey || Denim,patterned,6,6,0,4.6527393901162215
Baby/Children || Hoodie || Jersey Fancy || Blue || All over pattern,patterned,8,8,0,23.673078089972236
Divided || Sweater || Jersey Fancy || White || Embroidery,patterned,7,7,0,4.105396871643944
Ladieswear || Top || Jersey Fancy || Turquoise || Solid,solid,8,8,0,9.317522840160105
Menswear || Socks || Socks and Tights || Black || All over pattern,patterned,8,8,0,6.607762642305246
Ladieswear || Swimwear bottom || Swimwear || Brown || Solid,solid,5,5,0,10.777625863347753
Menswear || Necklace || Accessories || Metal || Solid,solid,8,8,1,24.98542657301791
Divided || Top || Jersey Fancy || Black || Lace,patterned,5,5,0,2.7267992024890173
Divided || Top || Jersey Fancy || Green || Solid,solid,7,7,0,14.71215150206975
"Ladieswear || Sweater || Under-, Nightwear || Pink || Solid",solid,6,6,0,5.997693761430311
Ladieswear || Sweater || Jersey Basic || Khaki green || Solid,solid,5,5,0,13.611196165677834
Ladieswear || Heeled sandals || Shoes || Pink || Solid,solid,7,7,0,12.98766712755334
Divided || Sweater || Jersey Fancy || Green || Placement print,patterned,5,5,0,31.403597402158837
Ladieswear || Swimwear bottom || Swimwear || Black || Other structure,patterned,8,8,0,1.4591043583010916
Ladieswear || Shorts || Shorts || Blue || Stripe,patterned,8,8,1,16.674171456740055
"Divided || Underwear bottom || Under-, Nightwear || Pink || Solid",solid,6,6,0,18.889961878361774
Baby/Children || Cardigan || Knitwear || Yellow || Solid,solid,8,8,0,7.3796236305143585
Menswear || T-shirt || Jersey Fancy || Yellow || Placement print,patterned,8,8,0,8.944457633251107
Ladieswear || Scarf || Accessories || Brown || Solid,solid,8,8,0,13.49080345642664
Baby/Children || Shirt || Woven/Jersey/Knitted mix Baby || Red || Check,patterned,8,8,0,12.732867297145626
Sport || Vest top || Jersey Fancy || Black || All over pattern,patterned,8,8,0,3.1365414662596978
Divided || Dress || Dresses Ladies || Orange || All over pattern,patterned,7,7,0,11.691148512652237
Ladieswear || Dress || Dresses Ladies || Blue || Denim,patterned,8,8,0,3.8725677049317038
Sport || Bag || Accessories || Pink || Solid,solid,5,5,0,21.827861741309853
Ladieswear || Blouse || Blouses || Beige || Jacquard,patterned,5,5,0,5.9907397704600935
Ladieswear || Blazer || Dressed || Khaki green || Solid,solid,8,8,0,11.273377282712769
Divided || Shorts || Unknown || Blue || Denim,patterned,5,5,0,18.29874791409681
Divided || Jacket || Unknown || Khaki green || Solid,solid,7,7,0,7.38357164242668
Ladieswear || Bag || Accessories || Black || All over pattern,patterned,8,8,0,7.800232259826756
Divided || Shirt || Blouses || Beige || Check,patterned,6,6,0,6.604030072501372
Menswear || Socks || Socks and Tights || Orange || All over pattern,patterned,8,8,0,18.526773535506656
Ladieswear || Dress || Blouses || White || Embroidery,patterned,7,7,0,2.4848886683368874
Ladieswear || Trousers || Trousers || Brown || Check,patterned,6,6,0,9.004695380512162
Divided || Shirt || Blouses || Green || Solid,solid,6,6,0,19.935037734443256
Ladieswear || Sweater || Knitwear || Green || Stripe,patterned,6,6,0,28.356360671304436
Ladieswear || Sweater || Knitwear || Beige || Melange,solid,8,8,0,5.518700944723344
Ladieswear || Coat || Outdoor || Khaki green || Solid,solid,5,5,0,14.3056147732852
Ladieswear || Jumpsuit/Playsuit || Trousers || Blue || Denim,patterned,5,5,0,20.101427155035317
Ladieswear || Dress || Blouses || Brown || All over pattern,patterned,8,8,0,19.09338221026469
Ladieswear || T-shirt || Jersey Basic || Black || Solid,solid,8,8,0,25.093663529542273
Ladieswear || Vest top || Jersey Basic || Black || Solid,solid,8,8,0,3.0128099949771188
Ladieswear || Vest top || Jersey Basic || White || Solid,solid,8,8,0,1.1671783260566424
"Ladieswear || Bra || Under-, Nightwear || Black || Solid",solid,8,8,0,2.267519624852017
"Ladieswear || Bra || Under-, Nightwear || White || Solid",solid,8,8,0,1.797045213201057
"Ladieswear || Bra || Under-, Nightwear || Beige || Solid",solid,8,8,0,4.1101014464354355
Ladieswear || Underwear Tights || Socks and Tights || Black || Solid,solid,8,8,1,14.61883259764149
Ladieswear || Socks || Socks and Tights || Beige || Solid,solid,8,8,0,5.2109296263012945
Baby/Children || Sweater || Jersey Basic || Grey || All over pattern,patterned,8,8,0,15.191494009811272
"Ladieswear || Bra || Under-, Nightwear || Grey || Solid",solid,8,8,1,10.743707119423359
Ladieswear || Top || Jersey Basic || Blue || Solid,solid,5,5,0,18.237294999149263
Menswear || Trousers || Jersey Basic || Grey || Melange,solid,8,8,0,9.67251413119601
Menswear || Trousers || Jersey Basic || Black || Solid,solid,8,8,0,2.485633445882617
Ladieswear || Hair clip || Accessories || Black || Solid,solid,8,8,2,6.983568586774329
Ladieswear || Hair clip || Accessories || Metal || Metallic,patterned,8,8,0,6.495517867584503
Ladieswear || Leggings/Tights || Jersey Basic || Black || Solid,solid,8,8,0,2.745134544301014
Ladieswear || Leggings/Tights || Jersey Basic || Grey || Melange,solid,6,6,0,22.436836671429226
Sport || Sweater || Jersey Fancy || Black || Solid,solid,8,8,0,3.1738426339877304
Sport || Sweater || Jersey Fancy || Grey || Melange,solid,5,5,0,2.600635023465622
Sport || Top || Jersey Fancy || Black || Melange,solid,8,8,0,7.470391458601359
Baby/Children || Bodysuit || Jersey Basic || White || Solid,solid,8,8,1,1.566903713773747
Sport || Trousers || Jersey Fancy || Black || Solid,solid,8,8,0,1.9126538419647974
"Ladieswear || Bra || Under-, Nightwear || Brown || Solid",solid,8,8,0,6.956146112605479
Ladieswear || Underwear Tights || Socks and Tights || Beige || Solid,solid,8,8,0,8.133111532401205
Baby/Children || Trousers || Trousers Denim || Blue || Denim,patterned,8,8,0,11.157434422501957
Ladieswear || Socks || Socks and Tights || Black || Solid,solid,8,8,1,23.762200530039397
Ladieswear || Socks || Socks and Tights || White || Solid,solid,8,8,0,3.265087798837236
Ladieswear || Socks || Socks and Tights || Grey || Melange,solid,8,8,2,12.655235348727263
Ladieswear || Socks || Socks and Tights || Pink || Melange,solid,8,8,1,19.187505166693672
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || Pink || All over pattern",patterned,8,8,0,8.180127458016438
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || Grey || All over pattern",patterned,8,8,1,6.031335971267676
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || Blue || All over pattern",patterned,8,8,0,11.903787627727503
Menswear || Hoodie || Outdoor || Black || Solid,solid,8,8,0,3.526692330148004
Menswear || Hoodie || Outdoor || Khaki green || Solid,solid,8,8,0,9.188709642476313
Menswear || Hoodie || Outdoor || Brown || Solid,solid,8,8,0,10.545388174078768
Menswear || Hoodie || Outdoor || Blue || Solid,solid,8,8,0,4.2141579433217
Ladieswear || Hair/alice band || Accessories || Black || Solid,solid,8,8,0,3.8283582492147517
Ladieswear || Hair/alice band || Accessories || Brown || Solid,solid,5,5,0,33.14937211318899
Ladieswear || Hair/alice band || Accessories || Orange || Solid,solid,8,8,0,22.888332095131613
Ladieswear || Belt || Accessories || Black || Solid,solid,8,8,0,4.4992620458104815
Ladieswear || Belt || Accessories || Brown || Solid,solid,8,8,0,14.367765296620611
"Divided || Socks || Under-, Nightwear || Black || Solid",solid,8,8,1,15.893970972384363
Ladieswear || Belt || Accessories || Black || Other structure,patterned,6,6,0,2.1767088779560497
Ladieswear || Bikini top || Swimwear || White || All over pattern,patterned,8,8,0,2.8950652668510264
Ladieswear || Swimwear bottom || Swimwear || White || All over pattern,patterned,8,8,0,3.377395609235803
"Menswear || Underwear bottom || Under-, Nightwear || Grey || Melange",solid,8,8,0,3.3207767258268626
Ladieswear || Hair string || Accessories || Black || Solid,solid,8,8,1,5.72402178381038
Ladieswear || Hair string || Accessories || Beige || Solid,solid,6,6,0,30.54683340063304
Ladieswear || Trousers || Jersey Basic || Black || Solid,solid,8,8,0,2.810875210314352
"Baby/Children || Pyjama jumpsuit/playsuit || Under-, Nightwear || White || All over pattern",patterned,8,8,0,6.210974904228868
Ladieswear || Swimsuit || Swimwear || Black || Solid,solid,8,8,0,2.794969286062186
Ladieswear || Swimsuit || Swimwear || White || Stripe,patterned,8,8,0,8.87244291120262
Ladieswear || Swimsuit || Swimwear || Green || Solid,solid,8,8,1,14.139806728845016
Ladieswear || Swimsuit || Swimwear || Black || All over pattern,patterned,8,8,0,25.344914265095504
Ladieswear || Swimsuit || Swimwear || Beige || All over pattern,patterned,8,8,0,7.139304012489037
Baby/Children || Bodysuit || Jersey Basic || Pink || Solid,solid,8,8,0,8.50657863131703
Divided || Leggings/Tights || Jersey Basic || Black || Contrast,patterned,8,8,0,1.509733424547277
Divided || Skirt || Jersey Basic || Black || Solid,solid,7,7,0,2.9987871211751744
Divided || Sweater || Jersey Basic || Black || Solid,solid,8,8,0,2.1148593011093593
Divided || Sweater || Jersey Basic || Grey || Melange,solid,8,8,0,15.741905493567964
Divided || Sweater || Jersey Basic || Khaki green || Solid,solid,6,6,0,11.694102349703165
Ladieswear || T-shirt || Jersey Basic || Blue || Melange,solid,8,8,0,9.440867356439794
Sport || Hat/beanie || Accessories || Black || Solid,solid,7,7,0,10.244198276751938
Baby/Children || Leggings/Tights || Jersey Basic || Black || Solid,solid,8,8,0,24.35989916751104
Baby/Children || Leggings/Tights || Jersey Basic || Blue || Solid,solid,8,8,0,8.44499510568397
Baby/Children || T-shirt || Jersey Basic || Black || Solid,solid,8,8,0,3.160670269066567
"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",solid,8,8,0,29.238995923334176
"Baby/Children || Kids Underwear top || Under-, Nightwear || Grey || Solid",solid,8,8,1,3.2267686504949653
Ladieswear || Underwear Tights || Socks and Tights || Red || Solid,solid,8,8,1,7.906508512266762
Ladieswear || Underwear Tights || Socks and Tights || Brown || Solid,solid,5,5,1,7.394493037765267
Divided || T-shirt || Jersey Basic || White || Solid,solid,8,8,0,1.7653991252237844
Menswear || Shirt || Shirts || Yellow || Check,patterned,8,8,0,21.65038108759663
Menswear || Shirt || Shirts || Grey || Check,patterned,5,5,0,24.107985040118386
Ladieswear || Bikini top || Swimwear || Black || Solid,solid,8,8,0,3.1980936391051493
"Ladieswear || Pyjama set || Under-, Nightwear || Pink || Stripe",patterned,8,8,0,3.633149219005501
Divided || Sneakers || Shoes || White || Solid,solid,8,8,0,2.1248320336178326
Divided || Dress || Jersey Basic || Red || Solid,solid,8,8,0,9.210082630107712
Divided || Dress || Jersey Basic || Khaki green || Solid,solid,8,8,0,5.339789692804764
Divided || Dress || Jersey Basic || Pink || Solid,solid,8,8,0,10.926517101045661
Divided || Dress || Jersey Basic || Orange || Solid,solid,8,8,0,10.320883886805543
Divided || Dress || Jersey Basic || Grey || Melange,solid,8,8,0,7.449941396303209
Menswear || Trousers || Trousers || Khaki green || Solid,solid,8,8,0,9.528096638543673
Menswear || Trousers || Trousers || Black || Solid,solid,8,8,0,2.8594347926350254
Menswear || Trousers || Trousers || Grey || Solid,solid,8,8,0,11.594911634175809
Menswear || Trousers || Trousers || Blue || Solid,solid,8,8,0,7.083549947256324
Ladieswear || Hair clip || Accessories || Metal || Solid,solid,8,8,2,4.5552484916631615
Ladieswear || Sunglasses || Accessories || Brown || Solid,solid,8,8,0,16.149932574644097
Divided || T-shirt || Jersey Basic || Black || Solid,solid,8,8,0,5.829249771577997
Divided || T-shirt || Jersey Basic || Grey || Melange,solid,8,8,0,1.3995037731913014
Divided || T-shirt || Jersey Basic || Blue || Solid,solid,8,8,0,13.964206810332016
Divided || T-shirt || Jersey Basic || Pink || Solid,solid,8,8,0,8.888442847562759
Divided || Cardigan || Knitwear || Grey || Melange,solid,8,8,0,8.401838932523367
Ladieswear || Vest top || Jersey Basic || Grey || Melange,solid,8,8,0,13.464867585242468
Ladieswear || Gloves || Accessories || Black || Solid,solid,8,8,0,5.643439232801881
Menswear || Trousers || Trousers || Beige || Solid,solid,8,8,2,5.996398474702283
Ladieswear || Dress || Jersey Basic || Black || Solid,solid,8,8,0,2.408343430873199
Ladieswear || Dress || Jersey Basic || Blue || Stripe,patterned,7,7,0,18.887615386046967
Ladieswear || Dress || Jersey Basic || Grey || Solid,solid,8,8,0,8.456923609005784
Ladieswear || Dress || Jersey Basic || Orange || Solid,solid,7,7,0,8.862832323912913
Ladieswear || Sunglasses || Accessories || Orange || Solid,solid,8,8,0,18.07188684527488
Ladieswear || Hat/beanie || Accessories || Black || Solid,solid,8,8,0,2.718197092211783
Ladieswear || Hat/beanie || Accessories || Beige || Solid,solid,8,8,0,3.824239328341543
Sport || Leggings/Tights || Jersey Fancy || Black || Solid,solid,8,8,0,2.729319986903745
Ladieswear || Belt || Accessories || Metal || Glittering/Metallic,patterned,8,8,1,10.68210411985893
Ladieswear || Hair clip || Accessories || White || Solid,solid,8,8,2,2.9865356697850887
Divided || Gloves || Accessories || Black || Solid,solid,8,8,0,2.399048850567191
Menswear || Cap/peaked || Accessories || Black || Solid,solid,8,8,0,2.780140935749572
Baby/Children || Top || Jersey Basic || Blue || Solid,solid,8,8,0,14.247028780729496
Ladieswear || Earring || Accessories || White || Solid,solid,8,8,1,16.622390060268756
"Ladieswear || Pyjama set || Under-, Nightwear || Grey || Melange",solid,8,8,0,7.702741461948474
Ladieswear || Top || Jersey Basic || Black || Solid,solid,8,8,0,2.4431124061019664
Ladieswear || Top || Jersey Basic || Blue || Stripe,patterned,7,7,0,28.509122497201545
Ladieswear || Hoodie || Jersey Basic || Black || Solid,solid,6,6,0,2.5486351076959934
Ladieswear || Hoodie || Jersey Basic || Grey || Melange,solid,8,8,0,14.154232242930714
Ladieswear || Hoodie || Jersey Basic || Blue || Solid,solid,7,7,0,11.322305938975434
Ladieswear || Hoodie || Jersey Basic || White || Solid,solid,6,6,0,3.2619280762650624
Ladieswear || Hoodie || Jersey Basic || Orange || Solid,solid,5,5,0,14.396021704992542
Ladieswear || Hoodie || Jersey Basic || Mole || Solid,solid,5,5,0,13.41798320417406
Baby/Children || Trousers || Jersey Basic || Black || Solid,solid,8,8,0,8.02826825529475
Ladieswear || Bag || Accessories || Black || Solid,solid,8,8,0,5.017844736893956
Ladieswear || Bag || Accessories || Beige || Solid,solid,8,8,0,8.725231434324254
Menswear || Blazer || Dressed || Black || Solid,solid,8,8,0,4.140273649478557
Menswear || Blazer || Dressed || Grey || Melange,solid,8,8,0,10.594574317454912
Menswear || Blazer || Dressed || Blue || Melange,solid,8,8,0,11.63648492722438
Menswear || Blazer || Dressed || Blue || Solid,solid,8,8,2,11.175698020735652
Ladieswear || Socks || Socks and Tights || Beige || Melange,solid,5,5,0,10.780081635593689
Ladieswear || Socks || Socks and Tights || Black || Contrast,patterned,8,8,0,2.7110485172065415
Ladieswear || Sweater || Knitwear || Blue || Solid,solid,8,8,0,16.837632438047702
Ladieswear || Sweater || Knitwear || White || Solid,solid,8,8,0,3.076333725933901
Baby/Children || Hoodie || Jersey Basic || Grey || Melange,solid,8,8,0,2.8350778701275083
Baby/Children || Hoodie || Jersey Basic || Blue || Solid,solid,8,8,0,14.181485528263815
Ladieswear || Trousers || Trousers || Blue || Denim,patterned,8,8,0,7.876013489121233
Ladieswear || Trousers || Trousers || White || Denim,patterned,8,8,0,3.552688819513002
Menswear || Shorts || Shorts || Blue || Denim,patterned,8,8,0,9.47487749139446
Divided || Trousers || Trousers || White || Solid,solid,8,8,0,1.3882403920651485
Divided || Trousers || Trousers || Blue || Solid,solid,8,8,0,9.319673957595207
Sport || Socks || Accessories || Grey || Melange,solid,8,8,3,10.838940644291181
Ladieswear || Trousers || Trousers || Black || Treatment,patterned,8,8,0,1.8003553952887796
Divided || Cardigan || Jersey Fancy || Black || Solid,solid,8,8,0,2.8512485703034
Ladieswear || Bikini top || Swimwear || Black || All over pattern,patterned,8,8,0,4.367104275433463
Ladieswear || T-shirt || Jersey Basic || Blue || Solid,solid,8,8,0,4.83216747054404
Divided || Boots || Shoes || Black || Solid,solid,8,8,0,3.645715432002351
Baby/Children || T-shirt || Jersey Basic || Blue || Solid,solid,8,8,0,13.540230751173727
Baby/Children || T-shirt || Jersey Basic || White || Solid,solid,8,8,0,2.357548610219733
Baby/Children || T-shirt || Jersey Basic || Pink || Solid,solid,8,8,0,30.148487311627413
Baby/Children || Socks || Socks and Tights || White || Other pattern,patterned,8,8,0,8.825913460959399
Baby/Children || Socks || Socks and Tights || Pink || Solid,solid,8,8,0,27.0347093375284
Sport || Vest top || Jersey Fancy || Black || Solid,solid,8,8,0,3.0035675552683823
Sport || Vest top || Jersey Fancy || Grey || Melange,solid,8,8,1,4.6568194308112
Baby/Children || Socks || Socks and Tights || Black || Other pattern,patterned,8,8,0,13.359585617147225
Ladieswear || Trousers || Trousers || Blue || Solid,solid,8,8,0,6.053372424670379
Ladieswear || Trousers || Trousers || Black || Solid,solid,8,8,0,4.434098454217648
