rank_unguarded,style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,price_index_level,predicted_intensity,guard1_n_active_articles_trailing_mean,guard3_n_weeks_active_trailing,guard1_pass,guard2_pass,guard3_pass,y_true_log,realised_intensity
1,Ladieswear || Swimwear bottom || Swimwear || Black || Other structure,Ladieswear,Swimwear bottom,Swimwear,Black,Other structure,1.0520850194045759,99.76661952553334,10.461538461538462,52,true,true,true,3.931752425220386,49.99626655395887
23,Ladieswear || Bikini top || Swimwear || Black || Other structure,Ladieswear,Bikini top,Swimwear,Black,Other structure,1.0468017773477354,62.960845679238574,13.076923076923077,52,true,true,true,3.8720736421866464,47.04190458234576
24,Ladieswear || Swimwear bottom || Swimwear || Blue || Stripe,Ladieswear,Swimwear bottom,Swimwear,Blue,Stripe,1.5654810042332044,62.3221929850103,15.23076923076923,52,true,true,true,3.9656959905244467,51.75697496947497
25,Ladieswear || Bikini top || Swimwear || Blue || Stripe,Ladieswear,Bikini top,Swimwear,Blue,Stripe,1.0623845471570579,61.49858554996876,18.153846153846153,52,true,true,true,4.000836765203251,53.6438549847436
26,Ladieswear || Shorts || Jersey Basic || Black || Solid,Ladieswear,Shorts,Jersey Basic,Black,Solid,1.008231640596769,60.344779353748805,3.0,52,false,true,true,4.269482257101757,70.48461538461538
27,Ladieswear || Bikini top || Swimwear || Blue || Other structure,Ladieswear,Bikini top,Swimwear,Blue,Other structure,1.1795928523760384,60.24735813721746,3.076923076923077,44,false,true,true,4.012471476724952,54.283333333333324
28,Ladieswear || Bikini top || Swimwear || Blue || Solid,Ladieswear,Bikini top,Swimwear,Blue,Solid,1.1868940758785151,58.76642128503592,9.538461538461538,52,false,true,true,4.258271267852432,69.68767770690846
29,Ladieswear || Leggings/Tights || Jersey Basic || Black || Solid,Ladieswear,Leggings/Tights,Jersey Basic,Black,Solid,0.79681795477045,58.65888326318767,10.692307692307692,52,true,false,true,3.8130492901545936,44.28832577678732
30,Ladieswear || Bikini top || Swimwear || Green || Solid,Ladieswear,Bikini top,Swimwear,Green,Solid,1.4043650269212224,58.62818184560597,11.846153846153847,52,true,true,true,3.775129342984837,42.603147712280844
31,Ladieswear || Bikini top || Swimwear || Black || Solid,Ladieswear,Bikini top,Swimwear,Black,Solid,1.2655613208427277,58.329954531085505,72.0,52,true,true,true,3.710434991672879,39.87158145832821
32,Divided || Vest top || Jersey Basic || Black || Solid,Divided,Vest top,Jersey Basic,Black,Solid,1.1726095427346757,58.2390016819734,11.23076923076923,52,true,true,true,4.10720041752424,59.77633082431845
33,Ladieswear || Socks || Socks and Tights || Black || Solid,Ladieswear,Socks,Socks and Tights,Black,Solid,1.009233473697732,57.943597737792444,13.846153846153847,52,true,true,true,3.7884527494867504,43.18797748519111
34,Ladieswear || Swimwear bottom || Swimwear || Beige || All over pattern,Ladieswear,Swimwear bottom,Swimwear,Beige,All over pattern,1.4157871433803475,57.79732698309568,4.923076923076923,52,false,true,true,3.479059635541235,31.42921245421246
35,Ladieswear || Shorts || Shorts || Black || Solid,Ladieswear,Shorts,Shorts,Black,Solid,1.115460818492896,57.76066743185094,17.846153846153847,52,true,true,true,3.8062811151621143,43.98284141476309
36,Ladieswear || Vest top || Jersey Basic || Black || Solid,Ladieswear,Vest top,Jersey Basic,Black,Solid,1.1846134767490282,57.540930780066006,20.692307692307693,52,true,true,true,4.118278707705614,60.45337195808158
37,Ladieswear || T-shirt || Jersey Basic || Khaki green || Solid,Ladieswear,T-shirt,Jersey Basic,Khaki green,Solid,1.1358392127607408,56.11969003751062,9.923076923076923,52,false,true,true,3.700333337500651,39.4607892107892
38,"Ladieswear || Unknown || Under-, Nightwear || Black || Solid",Ladieswear,Unknown,"Under-, Nightwear",Black,Solid,0.9502304882639978,55.736040204506914,7.6923076923076925,52,false,true,true,4.215234059825587,66.71001221001221
39,Ladieswear || T-shirt || Jersey Basic || White || All over pattern,Ladieswear,T-shirt,Jersey Basic,White,All over pattern,1.0218686342242964,55.454429549954476,2.3076923076923075,52,false,true,true,4.167658568474646,63.56410256410258
40,Ladieswear || Swimwear bottom || Swimwear || Blue || Solid,Ladieswear,Swimwear bottom,Swimwear,Blue,Solid,1.3665431886014414,55.43873796268896,8.307692307692308,52,false,true,true,4.318874616284452,74.1040598290598
41,Divided || Shorts || Shorts || Grey || Denim,Divided,Shorts,Shorts,Grey,Denim,1.2391151935133156,54.95133553658445,3.3846153846153846,52,false,true,true,3.724116651878665,40.434615384615384
42,Ladieswear || T-shirt || Jersey Fancy || White || Placement print,Ladieswear,T-shirt,Jersey Fancy,White,Placement print,1.0709207610166076,54.60355142382973,3.8461538461538463,18,false,true,false,3.4018382019340048,29.01923076923077
43,Divided || T-shirt || Jersey Basic || Black || Solid,Divided,T-shirt,Jersey Basic,Black,Solid,1.1064439977033342,54.427953724465695,16.384615384615383,52,true,true,true,4.172761167530513,63.89438923649453
44,Ladieswear || Bikini top || Swimwear || Beige || All over pattern,Ladieswear,Bikini top,Swimwear,Beige,All over pattern,1.6423301426480572,54.2997010172066,4.846153846153846,52,false,true,true,3.3449015562546554,27.357783882783885
45,Divided || T-shirt || Jersey Basic || Beige || Solid,Divided,T-shirt,Jersey Basic,Beige,Solid,1.1831469986155143,54.18950710472183,4.6923076923076925,52,false,true,true,3.843304821485842,45.67948717948719
46,Divided || T-shirt || Jersey Basic || Mole || Solid,Divided,T-shirt,Jersey Basic,Mole,Solid,,54.02369132469201,3.3076923076923075,50,false,false,true,4.328267414399478,74.81282051282054
47,Ladieswear || T-shirt || Jersey Fancy || Black || Front print,Ladieswear,T-shirt,Jersey Fancy,Black,Front print,0.9808623497984257,53.8791410686056,2.8461538461538463,46,false,true,true,3.035384353221433,19.808974358974357
48,Ladieswear || Shorts || Shorts || Brown || Solid,Ladieswear,Shorts,Shorts,Brown,Solid,0.6296093960146919,53.73477683866397,2.923076923076923,52,false,false,true,3.2333854341358874,24.36538461538462
49,Ladieswear || Bikini top || Swimwear || Pink || All over pattern,Ladieswear,Bikini top,Swimwear,Pink,All over pattern,1.2216326827729562,53.37500333289622,2.6923076923076925,52,false,true,true,3.5190184033017156,32.75128205128205
50,Ladieswear || T-shirt || Jersey Basic || Black || All over pattern,Ladieswear,T-shirt,Jersey Basic,Black,All over pattern,1.0594610058663287,53.26444008196268,2.6923076923076925,52,false,true,true,4.388097910712307,79.48717948717945
51,Divided || Trousers || Jersey Basic || Black || Solid,Divided,Trousers,Jersey Basic,Black,Solid,1.0273307296565681,52.495821374915344,5.615384615384615,52,false,true,true,4.070453368336693,57.58351648351647
52,Ladieswear || Swimwear bottom || Swimwear || Yellow || Solid,Ladieswear,Swimwear bottom,Swimwear,Yellow,Solid,1.1760291850505928,52.44548872005842,9.692307692307692,52,false,true,true,3.772275648788124,42.47889503658735
53,Ladieswear || T-shirt || Jersey Basic || Orange || Solid,Ladieswear,T-shirt,Jersey Basic,Orange,Solid,1.1698467228360712,52.22717666326276,4.846153846153846,28,false,true,true,3.741239029638499,41.15018315018315
54,Ladieswear || Swimsuit || Swimwear || White || Stripe,Ladieswear,Swimsuit,Swimwear,White,Stripe,1.3743969841219128,51.18019374513465,3.230769230769231,49,false,true,true,4.069311613946332,57.51666666666669
55,"Ladieswear || Unknown || Under-, Nightwear || White || Solid",Ladieswear,Unknown,"Under-, Nightwear",White,Solid,0.8395959175895328,50.851248527673945,4.769230769230769,52,false,false,true,3.866964332117515,46.797069597069594
56,Divided || Vest top || Jersey Basic || White || Solid,Divided,Vest top,Jersey Basic,White,Solid,1.239685588916131,50.64924147643572,11.461538461538462,52,true,true,true,3.9000560965254465,48.40522048900531
57,Divided || T-shirt || Jersey Basic || Pink || Solid,Divided,T-shirt,Jersey Basic,Pink,Solid,1.2304454652741181,50.47559560386443,6.769230769230769,52,false,true,true,4.03807457068345,55.71703296703296
58,Divided || Shorts || Jersey Basic || Black || Solid,Divided,Shorts,Jersey Basic,Black,Solid,1.1967674620714728,49.61839288489442,5.230769230769231,52,false,true,true,3.807795528772813,44.051015651015646
59,Divided || T-shirt || Jersey Basic || White || Solid,Divided,T-shirt,Jersey Basic,White,Solid,1.0003420427397736,49.43782111479748,19.53846153846154,52,true,true,true,3.9020579951494025,48.504223796146874
60,Ladieswear || Trousers || Trousers Denim || Black || Solid,Ladieswear,Trousers,Trousers Denim,Black,Solid,1.0556849923589875,49.132792102659266,3.5384615384615383,52,false,true,true,4.131261506049743,61.256410256410284
61,Ladieswear || T-shirt || Jersey Basic || White || Stripe,Ladieswear,T-shirt,Jersey Basic,White,Stripe,0.9692208844449528,48.7977753087997,9.384615384615385,52,false,true,true,4.035503771653962,55.571412134873654
62,Ladieswear || Swimwear bottom || Swimwear || White || All over pattern,Ladieswear,Swimwear bottom,Swimwear,White,All over pattern,1.3194119404102438,48.46525070360113,20.076923076923077,52,true,true,true,3.517311866830516,32.6937333759349
63,Ladieswear || Shorts || Shorts || Beige || Solid,Ladieswear,Shorts,Shorts,Beige,Solid,0.9893877412670982,47.89212418867238,6.076923076923077,52,false,true,true,3.8580915814381935,46.37485399216169
64,Divided || T-shirt || Jersey Basic || Khaki green || Solid,Divided,T-shirt,Jersey Basic,Khaki green,Solid,0.9203410747494929,47.62614551794003,4.615384615384615,52,false,true,true,3.5469613427223123,33.707692307692305
65,Ladieswear || Bikini top || Swimwear || Green || All over pattern,Ladieswear,Bikini top,Swimwear,Green,All over pattern,1.8201442535928531,47.55417608318503,3.6153846153846154,33,false,true,true,3.8427278904680398,45.65256410256411
66,Ladieswear || Sarong || Swimwear || Black || Solid,Ladieswear,Sarong,Swimwear,Black,Solid,1.4526476240140254,47.49784602240919,2.923076923076923,47,false,true,true,3.77699598942185,42.684615384615384
67,Ladieswear || Top || Knitwear || Black || Solid,Ladieswear,Top,Knitwear,Black,Solid,0.7201057828235999,47.30054500509009,5.384615384615385,52,false,false,true,4.048450840336532,56.308608058608044
68,Ladieswear || Swimsuit || Swimwear || Green || Other structure,Ladieswear,Swimsuit,Swimwear,Green,Other structure,1.064485967939956,47.04218249290539,2.8461538461538463,31,false,true,true,3.3151645467230697,26.526923076923076
69,Ladieswear || Shorts || Shorts || Blue || Denim,Ladieswear,Shorts,Shorts,Blue,Denim,1.142578113363539,46.945777258742396,27.153846153846153,52,true,true,true,3.4648732687326196,30.972407612630292
70,Ladieswear || T-shirt || Jersey Basic || Pink || Solid,Ladieswear,T-shirt,Jersey Basic,Pink,Solid,1.1207979613613164,46.9200952918304,6.153846153846154,47,false,true,true,3.620962011472039,36.37350427350428
71,Ladieswear || Socks || Socks and Tights || Grey || Melange,Ladieswear,Socks,Socks and Tights,Grey,Melange,0.9725316562790827,46.45739257639205,4.384615384615385,52,false,true,true,3.798148530179265,43.61849816849816
72,Ladieswear || Swimwear bottom || Swimwear || Black || All over pattern,Ladieswear,Swimwear bottom,Swimwear,Black,All over pattern,1.2252048855841908,46.29156961185551,16.46153846153846,52,true,true,true,3.404155251106946,29.08886744770612
73,Ladieswear || Swimwear bottom || Swimwear || Pink || All over pattern,Ladieswear,Swimwear bottom,Swimwear,Pink,All over pattern,1.6194677775200754,46.267390217872524,2.923076923076923,52,false,true,true,3.406567551836749,29.16153846153846
74,Menswear || T-shirt || Jersey Basic || White || Solid,Menswear,T-shirt,Jersey Basic,White,Solid,0.9400326079157666,45.12218458934972,16.53846153846154,52,true,true,true,3.3038279959856043,26.216624895572266
75,Divided || T-shirt || Jersey Basic || Grey || Melange,Divided,T-shirt,Jersey Basic,Grey,Melange,1.3101041320495281,44.70898078064638,5.769230769230769,52,false,true,true,3.790416047010242,43.27481684981685
76,Sport || Hoodie || Jersey Fancy || Black || Melange,Sport,Hoodie,Jersey Fancy,Black,Melange,1.0313568370194457,44.6871739758053,2.3846153846153846,52,false,true,true,4.307092384362736,73.22435897435899
77,Ladieswear || Bikini top || Swimwear || Black || All over pattern,Ladieswear,Bikini top,Swimwear,Black,All over pattern,1.1157282744212893,44.58475366395918,16.307692307692307,52,true,true,true,3.531834242413661,33.1866166826996
78,Divided || Dress || Jersey Basic || Black || Solid,Divided,Dress,Jersey Basic,Black,Solid,1.0613788164728934,44.30862835492559,25.307692307692307,52,true,true,true,3.291165865475194,25.874177073959956
79,Ladieswear || Shirt || Blouses || Beige || Solid,Ladieswear,Shirt,Blouses,Beige,Solid,,44.09046267336204,4.846153846153846,43,false,false,true,3.252115741350166,24.84496336996337
80,Ladieswear || Trousers || Trousers || Brown || All over pattern,Ladieswear,Trousers,Trousers,Brown,All over pattern,1.021230382581379,43.99179341608075,2.230769230769231,52,false,true,true,3.7249208087944483,40.467948717948715
81,Menswear || T-shirt || Jersey Basic || Green || Solid,Menswear,T-shirt,Jersey Basic,Green,Solid,1.061587390238605,43.8037584262326,3.8461538461538463,52,false,true,true,3.244798211962466,24.656532356532352
82,Ladieswear || Shirt || Blouses || White || Solid,Ladieswear,Shirt,Blouses,White,Solid,1.2451941565585527,43.60366530015395,34.23076923076923,52,true,true,true,3.5799682060655478,34.87240030418777
83,Ladieswear || Dress || Jersey Basic || Khaki green || Solid,Ladieswear,Dress,Jersey Basic,Khaki green,Solid,1.2564158922783921,42.97580678787579,5.0,52,false,true,true,2.7714204576668147,14.981318681318685
84,Ladieswear || Vest top || Jersey Fancy || White || Solid,Ladieswear,Vest top,Jersey Fancy,White,Solid,1.0408745613168808,42.9701120987497,22.846153846153847,52,true,true,true,3.5276425591868925,33.0436171287642
85,Sport || Vest top || Jersey Fancy || Khaki green || Solid,Sport,Vest top,Jersey Fancy,Khaki green,Solid,1.2599235381878695,42.96925841554535,2.769230769230769,32,false,true,true,3.3471562759103155,27.421794871794866
86,Divided || Trousers || Trousers Denim || Black || Solid,Divided,Trousers,Trousers Denim,Black,Solid,0.9945886927302413,42.53309545207278,3.4615384615384617,52,false,true,true,3.5487328223706944,33.76923076923077
87,Divided || Vest top || Jersey Basic || Pink || Solid,Divided,Vest top,Jersey Basic,Pink,Solid,1.246182151665841,42.31445650537344,3.0,52,false,true,true,3.3026512024240593,26.184615384615384
88,Ladieswear || Bikini top || Swimwear || Yellow || Solid,Ladieswear,Bikini top,Swimwear,Yellow,Solid,1.1039062421414847,42.3109475273519,8.923076923076923,52,false,true,true,3.647344137369346,37.37261819377205
89,Menswear || T-shirt || Jersey Basic || Black || Solid,Menswear,T-shirt,Jersey Basic,Black,Solid,1.0713675782308907,41.809379780488655,14.461538461538462,52,true,true,true,3.4134502516543233,29.36984731814454
90,Sport || Leggings/Tights || Jersey Fancy || Black || Solid,Sport,Leggings/Tights,Jersey Fancy,Black,Solid,0.9086789734348336,41.57784964213863,26.846153846153847,52,true,true,true,3.99051154606522,53.0825480030173
91,Ladieswear || Bikini top || Swimwear || White || All over pattern,Ladieswear,Bikini top,Swimwear,White,All over pattern,1.1661039255918586,41.49475853595047,29.384615384615383,52,true,true,true,3.409271141565685,29.243193217875
92,Ladieswear || Dress || Dresses Ladies || Unknown || All over pattern,Ladieswear,Dress,Dresses Ladies,Unknown,All over pattern,1.2227258397374836,41.49432788312438,7.153846153846154,52,false,true,true,3.9418872807310392,50.51573426573427
93,"Ladieswear || Sweater || Under-, Nightwear || White || Solid",Ladieswear,Sweater,"Under-, Nightwear",White,Solid,1.4543119959400088,41.426653455902596,5.3076923076923075,52,false,true,true,3.4117278220272595,29.317582417582425
94,Ladieswear || Shorts || Shorts || Pink || Solid,Ladieswear,Shorts,Shorts,Pink,Solid,0.7739012423982391,41.36924172303375,0.3076923076923077,13,false,false,false,3.567725358197969,34.43589743589744
95,Divided || Shorts || Shorts || Black || All over pattern,Divided,Shorts,Shorts,Black,All over pattern,1.3431588548144464,41.27525535497992,3.923076923076923,52,false,true,true,3.266822561180691,25.227869352869348
96,Ladieswear || Vest top || Jersey Fancy || Black || Solid,Ladieswear,Vest top,Jersey Fancy,Black,Solid,1.1239868848169847,41.2323232265424,26.307692307692307,52,true,true,true,3.441314114986856,30.22796835758335
97,Ladieswear || Shorts || Shorts || White || Solid,Ladieswear,Shorts,Shorts,White,Solid,0.9200223394001429,41.189470667544214,6.0,52,false,true,true,3.453130248369497,30.599150849150856
98,Ladieswear || Bikini top || Swimwear || Orange || Solid,Ladieswear,Bikini top,Swimwear,Orange,Solid,1.1700752822126996,40.81206468065583,8.76923076923077,52,false,true,true,3.3070221591280067,26.30369822485208
99,Ladieswear || Top || Jersey Fancy || Black || Other structure,Ladieswear,Top,Jersey Fancy,Black,Other structure,0.9297977162103598,40.34831275562436,3.230769230769231,45,false,true,true,4.152311054037485,62.580769230769256
100,Divided || Top || Jersey Basic || Black || Solid,Divided,Top,Jersey Basic,Black,Solid,0.8278243859697184,40.29333760891308,11.461538461538462,52,true,false,true,3.8728326081656497,47.0783805937652
101,Ladieswear || Hair ties || Accessories || Black || Solid,Ladieswear,Hair ties,Accessories,Black,Solid,0.852531415745395,40.24703804276328,3.230769230769231,46,false,true,true,3.7816333668969264,42.88766788766789
102,Sport || Leggings/Tights || Jersey Fancy || Black || Colour blocking,Sport,Leggings/Tights,Jersey Fancy,Black,Colour blocking,1.0158499994211572,40.24285900191629,4.6923076923076925,52,false,true,true,3.287249701398493,25.7691391941392
103,Ladieswear || Leggings/Tights || Jersey Basic || Grey || Melange,Ladieswear,Leggings/Tights,Jersey Basic,Grey,Melange,1.028564140520785,40.16380609600028,0.8461538461538461,26,false,true,true,3.499610744716996,32.10256410256411
104,Sport || Leggings/Tights || Jersey Fancy || Khaki green || Solid,Sport,Leggings/Tights,Jersey Fancy,Khaki green,Solid,,40.037968944894054,2.6153846153846154,24,false,false,false,3.7975038682246365,43.589743589743584
105,Divided || Trousers || Trousers || Blue || Stripe,Divided,Trousers,Trousers,Blue,Stripe,1.3451084611016468,39.710373145842624,2.3846153846153846,52,false,true,true,4.131055554035833,61.243589743589716
106,Ladieswear || Swimsuit || Swimwear || White || Solid,Ladieswear,Swimsuit,Swimwear,White,Solid,1.5129071814546269,39.603096400160396,0.9230769230769231,42,false,true,true,3.371266715415967,28.115384615384617
107,Ladieswear || Bikini top || Swimwear || White || Stripe,Ladieswear,Bikini top,Swimwear,White,Stripe,1.1334398821490514,39.55820393786305,7.230769230769231,52,false,true,true,3.1806426758609345,23.062212787212783
108,"Ladieswear || Unknown || Under-, Nightwear || Brown || Solid",Ladieswear,Unknown,"Under-, Nightwear",Brown,Solid,,39.38139127054452,3.6923076923076925,22,false,false,false,3.3105430133940246,26.400000000000002
109,Ladieswear || Swimwear bottom || Swimwear || White || Stripe,Ladieswear,Swimwear bottom,Swimwear,White,Stripe,1.4446894120860534,39.22573099882576,3.3846153846153846,49,false,true,true,2.9346067250126597,17.814102564102562
110,Sport || Leggings/Tights || Jersey Fancy || Black || Mesh,Sport,Leggings/Tights,Jersey Fancy,Black,Mesh,1.1967878380187817,39.177361198238984,4.384615384615385,52,false,true,true,3.896310463854444,48.220512820512816
111,Ladieswear || Swimsuit || Swimwear || Green || Solid,Ladieswear,Swimsuit,Swimwear,Green,Solid,1.4943161990629261,39.00321605403605,3.6923076923076925,52,false,true,true,3.5886694693342256,35.185897435897445
112,Sport || Leggings/Tights || Jersey Fancy || Black || Placement print,Sport,Leggings/Tights,Jersey Fancy,Black,Placement print,1.094527505360893,38.80410558860251,4.384615384615385,52,false,true,true,4.194111164375731,65.29478021978022
113,Ladieswear || Swimwear bottom || Swimwear || Green || All over pattern,Ladieswear,Swimwear bottom,Swimwear,Green,All over pattern,1.2851979608657162,38.520138378467955,3.3846153846153846,43,false,true,true,3.253917629748941,24.891575091575096
114,Ladieswear || Swimsuit || Swimwear || White || All over pattern,Ladieswear,Swimsuit,Swimwear,White,All over pattern,0.9768277289115943,38.45111325853825,6.6923076923076925,50,false,true,true,3.74431719328524,41.2801282051282
115,Ladieswear || Dress || Jersey Basic || Orange || Solid,Ladieswear,Dress,Jersey Basic,Orange,Solid,1.0243921591225593,38.055686032284555,3.1538461538461537,14,false,true,false,3.4852556846690455,31.630769230769232
116,Ladieswear || Blouse || Blouses || Unknown || All over pattern,Ladieswear,Blouse,Blouses,Unknown,All over pattern,1.0075687323602462,38.04357572328883,2.769230769230769,36,false,true,true,4.338094841790481,75.56153846153843
117,Ladieswear || Trousers || Trousers || Beige || Melange,Ladieswear,Trousers,Trousers,Beige,Melange,,37.97477146547358,6.615384615384615,47,false,false,true,3.2173912068845754,23.962912087912088
118,Ladieswear || Bikini top || Swimwear || Orange || All over pattern,Ladieswear,Bikini top,Swimwear,Orange,All over pattern,1.0944323699988494,37.876683521254286,13.923076923076923,52,true,true,true,3.6620334185505667,37.94044464307622
119,Menswear || Shorts || Jersey Basic || Grey || Melange,Menswear,Shorts,Jersey Basic,Grey,Melange,1.0497566959866043,37.86187629109304,10.153846153846153,52,true,true,true,2.896363361041107,17.10817259663413
120,Ladieswear || Swimsuit || Swimwear || Beige || All over pattern,Ladieswear,Swimsuit,Swimwear,Beige,All over pattern,1.6433027913927922,37.55288671054522,2.8461538461538463,52,false,true,true,4.191401467361367,65.11538461538463
121,Divided || Vest top || Jersey Basic || Orange || Solid,Divided,Vest top,Jersey Basic,Orange,Solid,0.9820463555224184,37.41844126042993,6.153846153846154,52,false,true,true,3.073696950771922,20.62168942168942
122,Divided || Shorts || Trousers Denim || Blue || Denim,Divided,Shorts,Trousers Denim,Blue,Denim,1.172270185492987,37.168768609436185,31.923076923076923,52,true,true,true,3.0345951472239374,19.7925582702984
123,Divided || Shorts || Trousers Denim || Black || Denim,Divided,Shorts,Trousers Denim,Black,Denim,1.2092051685679173,37.13277146205171,8.923076923076923,52,false,true,true,3.1135544383557443,21.50088042299581
124,Divided || Trousers || Trousers || Black || Solid,Divided,Trousers,Trousers,Black,Solid,0.8715772967010611,37.00875922303232,46.23076923076923,52,true,true,true,3.7554338500627646,41.752764076924095
125,Menswear || T-shirt || Jersey Basic || Red || Solid,Menswear,T-shirt,Jersey Basic,Red,Solid,0.9434821688649898,36.72931920543508,1.3846153846153846,52,false,true,true,3.450801215526601,30.525641025641026
126,Ladieswear || Sweater || Jersey Basic || Black || Solid,Ladieswear,Sweater,Jersey Basic,Black,Solid,1.0209067830583751,36.70489475757097,2.076923076923077,52,false,true,true,3.71200736602519,39.935897435897424
127,Ladieswear || Cardigan || Knitwear || Black || Solid,Ladieswear,Cardigan,Knitwear,Black,Solid,0.9052240862625945,36.66242496710028,7.461538461538462,52,false,true,true,4.098599980586913,59.2558691308691
128,Ladieswear || Trousers || Trousers || Beige || Solid,Ladieswear,Trousers,Trousers,Beige,Solid,0.8845875824591892,36.633329576856056,45.38461538461539,52,true,true,true,3.2990032021952813,26.085626566865763
129,"Ladieswear || Pyjama bottom || Under-, Nightwear || Black || Solid",Ladieswear,Pyjama bottom,"Under-, Nightwear",Black,Solid,1.0342735441377406,36.57774102556983,3.0,52,false,true,true,3.7622431017078006,42.04487179487178
