image,style_id,judge,dim,score
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",groq,colour_family,1.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,colour_family,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,graphical_treatment,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.0
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,product_type,0.85
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,colour_family,0.85
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,graphical_treatment,0.85
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.0
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.85
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,smolvlm,product_type,0.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,smolvlm,colour_family,0.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,smolvlm,graphical_treatment,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,product_type,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,colour_family,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,smolvlm,graphical_treatment,0.85
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,product_type,0.0
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,colour_family,0.85
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",smolvlm,graphical_treatment,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,smolvlm,product_type,0.85
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,smolvlm,colour_family,0.85
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,smolvlm,graphical_treatment,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.02
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.02564102564102564
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.04
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed42.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,product_type,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.02040816326530612
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.022222222222222223
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.02127659574468085
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.021739130434782608
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,product_type,0.85
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,colour_family,0.85
data\images\0554598001.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,graphical_treatment,0.0
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.0
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\images\0760878001.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,florence2,product_type,0.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,florence2,colour_family,0.0
data\images\0783732002.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,florence2,graphical_treatment,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,product_type,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,colour_family,0.0
data\images\0798620003.jpg,Ladieswear || T-shirt || Jersey Basic || Black || Solid,florence2,graphical_treatment,0.0
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,product_type,0.047619047619047616
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,colour_family,0.85
data\images\0803986005.jpg,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",florence2,graphical_treatment,0.0
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,florence2,product_type,0.85
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,florence2,colour_family,0.85
data\images\0863646003.jpg,Ladieswear || Sweater || Knitwear || Beige || Melange,florence2,graphical_treatment,0.0
