style_id,seed,image_path,judge,available,scores_json,raw_extraction_json,excluded_reason,fidelity_before_4attr,fidelity_after_3attr,threshold_before,threshold_after,pass_before,pass_after
Ladieswear || Sweater || Knitwear || Beige || Melange,42,data\generated\final_concepts_v3\ladieswear_sweater_knitwear_beige_melange_seed42.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || T-shirt || Jersey Basic || Black || Solid,43,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed43.png,groq,true,"{""product_type"": 0.85, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""short-sleeve T-shirt"", ""colour_family"": ""black"", ""graphical_treatment"": ""solid color with no print or graphic"", ""garment_group"": ""tops""}",,0.675,0.9,0.43805147058823535,0.513235294117647,true,true
Ladieswear || T-shirt || Jersey Basic || Black || Solid,44,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || T-shirt || Jersey Basic || Black || Solid,44,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed44.png,groq,true,"{""product_type"": 0.85, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Short-sleeve crew-neck t-shirt"", ""colour_family"": ""Black"", ""graphical_treatment"": ""Solid, no print or graphics; plain jersey fabric with a white woven neck label"", ""garment_group"": ""Tops""}",,0.675,0.9,0.43805147058823535,0.513235294117647,true,true
Ladieswear || T-shirt || Jersey Basic || Black || Solid,45,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
Ladieswear || T-shirt || Jersey Basic || Black || Solid,45,data\generated\final_concepts_v3\ladieswear_t-shirt_jersey-basic_black_solid_seed45.png,groq,true,"{""product_type"": 0.85, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Short-sleeve t-shirt"", ""colour_family"": ""Black"", ""graphical_treatment"": ""Solid, plain single color with no print, pattern, or decorative graphics; clean finish with a ribbed crew neckline and hemmed sleeve and bottom edges"", ""garment_group"": ""Top""}",,0.675,0.9,0.43805147058823535,0.513235294117647,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",42,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",42,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,groq,true,"{""product_type"": 0.0, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""High-waisted bikini or swim briefs"", ""colour_family"": ""Red"", ""graphical_treatment"": ""Solid, with ribbed texture on the bands"", ""garment_group"": ""Bottoms / Swimwear""}",,0.4625,0.6166666666666667,0.43805147058823535,0.513235294117647,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",43,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",43,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,groq,true,"{""product_type"": 0.25, ""colour_family"": 0.85, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Men's thong underwear"", ""colour_family"": ""Red with black trim"", ""graphical_treatment"": ""Solid color with piping and a small woven brand label"", ""garment_group"": ""Underwear""}",,0.4875,0.65,0.43805147058823535,0.513235294117647,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",44,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",44,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,groq,true,"{""product_type"": 0.1, ""colour_family"": 0.85, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Women's high-waisted shorts-style underwear / shapewear brief"", ""colour_family"": ""Red and pink"", ""graphical_treatment"": ""Solid color panels with contrasting sheer mesh inlay sections and solid trim, plus a sewn-in paper swing tag"", ""garment_group"": ""Underwear""}",,0.45,0.6,0.43805147058823535,0.513235294117647,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",45,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",45,data\generated\final_concepts_h3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,groq,false,,,groq judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `qwen/qwen3.8-27b` in organization `org_01kpw92fcwebnbpwgabfd5r32b,,,0.43805147058823535,0.513235294117647,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",42,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",42,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed42.png,groq,true,"{""product_type"": 0.16666666666666666, ""colour_family"": 0.85, ""graphical_treatment"": 0.0, ""garment_group"": 0.0}","{""product_type"": ""Women's lace-trimmed brief underwear"", ""colour_family"": ""Two-tone red and white"", ""graphical_treatment"": ""White base fabric with a sheer floral embroidered lace yoke and red lace-trimmed edges"", ""garment_group"": ""Lingerie""}",,0.25416666666666665,0.33888888888888885,0.43805147058823535,0.513235294117647,false,false
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",43,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",43,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed43.png,groq,true,"{""product_type"": 0.14285714285714285, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Lace women's underwear / bikini briefs"", ""colour_family"": ""Red"", ""graphical_treatment"": ""Floral lace overlay with scalloped lace trim on top of a sheer mesh base and solid red gusset and leg/edge bands"", ""garment_group"": ""Underwear (pants/briefs)""}",,0.4982142857142857,0.6642857142857143,0.43805147058823535,0.513235294117647,true,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",44,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",44,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed44.png,groq,true,"{""product_type"": 0.0, ""colour_family"": 0.85, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Bodysuit (baby/infant)"", ""colour_family"": ""Red and white"", ""graphical_treatment"": ""White sheer mesh body with a pink geometric dot grid pattern, accented with solid red panels and fine red ruffle trim along the edges."", ""garment_group"": ""Tops & Bodysuits""}",,0.425,0.5666666666666667,0.43805147058823535,0.513235294117647,false,true
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",45,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,gemini,false,,,"gemini judge call failed: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail",,,0.625,0.6666666666666666,,
"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",45,data\generated\final_concepts_v3\ladieswear_underwear-bottom_under--nightwear_red_solid_seed45.png,groq,true,"{""product_type"": 0.2, ""colour_family"": 1.0, ""graphical_treatment"": 0.85, ""garment_group"": 0.0}","{""product_type"": ""Women's lace underwear briefs"", ""colour_family"": ""Red"", ""graphical_treatment"": ""Floral lace overlay with scalloped edges and a solid central panel"", ""garment_group"": ""Intimates""}",,0.5125,0.6833333333333332,0.43805147058823535,0.513235294117647,true,true
