rank_unguarded,n_ranked,style_key,origin,week_start,units_per_active_article,predicted_intensity
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-03-30,41.0,48.00784516621666
1,1980,Ladieswear || Hoodie || Jersey Basic || Black || Solid,2020-09-21,2020-09-21,43.0,48.00784516621666
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-03-30,3.6666666666666665,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-04-06,8.5,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-04-13,8.5,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-04-20,1.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-04-27,11.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-05-04,7.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-05-11,4.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-05-18,3.6666666666666665,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-05-25,9.333333333333334,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-06-01,7.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-06-08,2.6666666666666665,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-06-15,3.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-06-22,3.6666666666666665,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-06-29,7.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-07-06,5.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-07-13,5.333333333333333,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-07-20,4.333333333333333,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-07-27,3.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-08-03,3.3333333333333335,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-08-10,4.333333333333333,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-08-17,2.5,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-08-24,3.3333333333333335,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-08-31,1.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-09-07,2.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-09-14,3.0,2.8152369524597116
1500,1980,"Baby/Children || Kids Underwear top || Under-, Nightwear || Black || Solid",2020-09-21,2020-09-21,1.5,2.8152369524597116
