case,stratum,attempt,n_runs,consistent,majority,majority_count,majority_matches_rule,all_runs_match_rule,verdict_outcome_consistent,verdict_outcome_all_match
wrong_26,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_27,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_28,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_29,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_30,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_31,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_32,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_33,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_34,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_35,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_36,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_37,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_38,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_39,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_40,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_41,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_42,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_43,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_44,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_45,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_46,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_47,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_48,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_49,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_50,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_51,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_52,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_53,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_54,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_55,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_56,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_57,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_58,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_59,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_60,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_61,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_62,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_63,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_64,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_65,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_66,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_67,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_68,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_69,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_70,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_71,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_72,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_73,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_74,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_75,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_76,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_77,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_78,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_79,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_80,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_81,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_82,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_83,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_84,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_85,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_86,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_87,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_88,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_89,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_90,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_91,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_92,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_93,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_94,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
wrong_95,N4_wrong_style,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
underwear_seed42,N1_malformed,1,3,true,REJECT|RETRY|concept-designer|seed,3,true,true,true,true
underwear_seed42,N1_malformed,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
underwear_seed44,N1_malformed,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
underwear_seed44,N1_malformed,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
underwear_seed45,N1_malformed,1,3,true,REJECT|RETRY|concept-designer|seed,3,true,true,true,true
underwear_seed45,N1_malformed,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
swatch_concat-0.15_s43,N2_swatch,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
swatch_concat-0.15_s43,N2_swatch,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
swatch_concat-style-only-1.0_s42,N2_swatch,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
swatch_concat-style-only-1.0_s42,N2_swatch,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
clone_Sweater,N3_clone,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clone_Sweater,N3_clone,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
clone_Dress,N3_clone,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clone_Dress,N3_clone,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
clone_Top,N3_clone,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clone_Top,N3_clone,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
clone_Bikini top,N3_clone,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clone_Bikini top,N3_clone,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
submitted_Sweater,P1_approved,1,3,true,PASS_PENDING_HUMAN|FORWARD|forecaster|None,3,true,true,true,true
submitted_Sweater,P1_approved,3,3,true,PASS_PENDING_HUMAN|FORWARD|forecaster|None,3,true,true,true,true
submitted_Dress,P1_approved,1,3,true,PASS_PENDING_HUMAN|FORWARD|forecaster|None,3,true,true,true,true
submitted_Dress,P1_approved,3,3,true,PASS_PENDING_HUMAN|FORWARD|forecaster|None,3,true,true,true,true
submitted_Top,P1_approved,1,3,false,REJECT|RETRY|concept-designer|ip_adapter_scale,2,true,false,true,true
submitted_Top,P1_approved,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
submitted_Bikini top,P1_approved,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
submitted_Bikini top,P1_approved,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
h3_underwear_seed43,P2_coherent,1,3,true,INCONCLUSIVE|ESCALATE_INCONCLUSIVE|None|None,3,true,true,true,true
h3_underwear_seed43,P2_coherent,3,3,true,INCONCLUSIVE|ESCALATE_INCONCLUSIVE|None|None,3,true,true,true,true
clean_sweater_concat-0.25-nat_s43,P2_coherent,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clean_sweater_concat-0.25-nat_s43,P2_coherent,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
clean_sweater_concat-0.35-nat_s43,P2_coherent,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clean_sweater_concat-0.35-nat_s43,P2_coherent,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
clean_sweater_single-0.35-nat_s43,P2_coherent,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
clean_sweater_single-0.35-nat_s43,P2_coherent,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
m3_sweater,P2_coherent,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
m3_sweater,P2_coherent,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
m3_dress,P2_coherent,1,3,true,REJECT|RETRY|concept-designer|ip_adapter_scale,3,true,true,true,true
m3_dress,P2_coherent,3,3,true,REJECT|FAILED|None|None,3,true,true,true,true
