style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,rank_raw_intensity,rank_shrunk_intensity,rank_lifetime_units,mean_units_per_active_article,mean_intensity_shrunk,lifetime_units,mean_price_index
Divided || Trousers || Trousers Denim || Black || Solid,Divided,Trousers,Trousers Denim,Black,Solid,1,1,,98.02688679245283,69.27112672273194,,0.982569843283023
Ladieswear || Leggings/Tights || Jersey Basic || Black || Solid,Ladieswear,Leggings/Tights,Jersey Basic,Black,Solid,,10,,,48.77829259424701,,1.0004854635485023
Ladieswear || T-shirt || Jersey Basic || White || Solid,Ladieswear,T-shirt,Jersey Basic,White,Solid,,11,19,,48.53755510080344,139883,1.0683921970029595
Ladieswear || Socks || Socks and Tights || White || Solid,Ladieswear,Socks,Socks and Tights,White,Solid,,12,,,48.3660860343444,,0.9812370530477281
Sport || Leggings/Tights || Jersey Fancy || Black || Solid,Sport,Leggings/Tights,Jersey Fancy,Black,Solid,,13,15,,48.31632569869991,152774,0.969419011739475
Ladieswear || Swimwear bottom || Swimwear || Pink || Other structure,Ladieswear,Swimwear bottom,Swimwear,Pink,Other structure,,16,,,47.37313843475883,,
Ladieswear || Bikini top || Swimwear || Pink || Other structure,Ladieswear,Bikini top,Swimwear,Pink,Other structure,,17,,,47.19478369926635,,
Divided || Top || Jersey Basic || Black || Solid,Divided,Top,Jersey Basic,Black,Solid,,19,,,46.45586834538046,,0.9686386263487778
Ladieswear || Trousers || Trousers || Black || Solid,Ladieswear,Trousers,Trousers,Black,Solid,,,1,,,464174,1.0063172069762873
Divided || Trousers || Trousers Denim || Blue || Denim,Divided,Trousers,Trousers Denim,Blue,Denim,,,2,,,381009,1.0371614232582633
"Ladieswear || Bra || Under-, Nightwear || Black || Solid",Ladieswear,Bra,"Under-, Nightwear",Black,Solid,,,3,,,312310,0.9830865372300435
"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",Ladieswear,Underwear bottom,"Under-, Nightwear",Black,Solid,,,4,,,303544,1.0311852837550777
Divided || Trousers || Trousers || Blue || Solid,Divided,Trousers,Trousers,Blue,Solid,,,5,,,296172,1.0099703666094617
Ladieswear || Blouse || Blouses || White || Solid,Ladieswear,Blouse,Blouses,White,Solid,,,6,,,286820,0.9503638184051072
Ladieswear || Bikini top || Swimwear || Black || Solid,Ladieswear,Bikini top,Swimwear,Black,Solid,,,7,,,241391,1.0223195562540188
Ladieswear || Swimwear bottom || Swimwear || Black || Solid,Ladieswear,Swimwear bottom,Swimwear,Black,Solid,,,8,,,232562,1.0349146022525628
Divided || Trousers || Trousers || Black || Solid,Divided,Trousers,Trousers,Black,Solid,,,9,,,232111,0.9912093870343684
Ladieswear || Trousers || Trousers || Blue || Denim,Ladieswear,Trousers,Trousers,Blue,Denim,,,10,,,231767,1.0284018826923271
Ladieswear || Top || Jersey Fancy || Black || Solid,Ladieswear,Top,Jersey Fancy,Black,Solid,,,11,,,213631,0.972933369380572
Ladieswear || Dress || Dresses Ladies || Black || Solid,Ladieswear,Dress,Dresses Ladies,Black,Solid,,,12,,,191606,1.056002503038111
Ladieswear || Sweater || Knitwear || Grey || Melange,Ladieswear,Sweater,Knitwear,Grey,Melange,,,13,,,171180,1.172695351520586
Ladieswear || Dress || Jersey Fancy || Black || Solid,Ladieswear,Dress,Jersey Fancy,Black,Solid,,,16,,,147354,0.9329368242289936
Ladieswear || Sweater || Knitwear || Black || Solid,Ladieswear,Sweater,Knitwear,Black,Solid,,,17,,,147239,1.2148409748180105
Divided || Dress || Dresses Ladies || Black || Solid,Divided,Dress,Dresses Ladies,Black,Solid,,,18,,,145864,1.0162058722534564
"Ladieswear || Bra || Under-, Nightwear || White || Solid",Ladieswear,Bra,"Under-, Nightwear",White,Solid,,,20,,,137437,0.9836462841793284
