rank_unguarded,style_key,index_group_name,product_type_name,garment_group_name,perceived_colour_master_name,graphical_appearance_name,price_index_level,predicted_intensity,guard1_n_active_articles_trailing_mean,guard3_n_weeks_active_trailing,guard1_pass,guard2_pass,guard3_pass,all_guards_pass
1,Ladieswear || Hoodie || Jersey Basic || Black || Solid,Ladieswear,Hoodie,Jersey Basic,Black,Solid,1.0597463949766324,48.00784516621666,2.1538461538461537,52,false,true,true,false
23,Ladieswear || Sweater || Knitwear || Mole || Solid,Ladieswear,Sweater,Knitwear,Mole,Solid,1.0688621319832503,26.528335510104608,7.923076923076923,52,false,true,true,false
24,Ladieswear || Cardigan || Knitwear || Black || Solid,Ladieswear,Cardigan,Knitwear,Black,Solid,1.3940445086793867,26.39068562260886,10.307692307692308,52,true,true,true,true
25,Ladieswear || Sweater || Knitwear || White || Solid,Ladieswear,Sweater,Knitwear,White,Solid,1.2112677461073251,25.917108723701226,26.846153846153847,52,true,true,true,true
26,Divided || Trousers || Jersey Basic || Grey || Melange,Divided,Trousers,Jersey Basic,Grey,Melange,1.018962338469886,25.813701246084346,3.3846153846153846,52,false,true,true,false
27,Ladieswear || Sweater || Knitwear || Black || Stripe,Ladieswear,Sweater,Knitwear,Black,Stripe,1.2777642951123012,25.52113251821999,3.3076923076923075,52,false,true,true,false
28,Ladieswear || T-shirt || Jersey Basic || White || Solid,Ladieswear,T-shirt,Jersey Basic,White,Solid,1.1575622705197335,25.197520026067032,21.53846153846154,52,true,true,true,true
29,Ladieswear || Sweater || Knitwear || Black || Solid,Ladieswear,Sweater,Knitwear,Black,Solid,1.1767462530699149,24.678683942305575,36.30769230769231,52,true,true,true,true
30,Ladieswear || Trousers || Jersey Basic || Grey || Melange,Ladieswear,Trousers,Jersey Basic,Grey,Melange,1.0257708933708127,24.638286426588135,3.230769230769231,52,false,true,true,false
31,Divided || Trousers || Trousers || Black || Check,Divided,Trousers,Trousers,Black,Check,1.2932051020605857,24.532061478444657,3.3846153846153846,52,false,true,true,false
32,Ladieswear || Leggings/Tights || Jersey Basic || Black || Solid,Ladieswear,Leggings/Tights,Jersey Basic,Black,Solid,1.0376333850527568,24.519238018438838,11.384615384615385,52,true,true,true,true
33,Ladieswear || Trousers || Jersey Basic || Black || Solid,Ladieswear,Trousers,Jersey Basic,Black,Solid,1.1964485466633776,24.270382710682863,4.923076923076923,52,false,true,true,false
34,"Ladieswear || Sweater || Under-, Nightwear || Black || Solid",Ladieswear,Sweater,"Under-, Nightwear",Black,Solid,1.1913378035401228,24.19156212103644,11.538461538461538,52,true,true,true,true
35,Menswear || Hoodie || Jersey Basic || Black || Solid,Menswear,Hoodie,Jersey Basic,Black,Solid,1.0562166141835194,24.000177843198596,5.615384615384615,52,false,true,true,false
36,Sport || Leggings/Tights || Jersey Fancy || Black || Solid,Sport,Leggings/Tights,Jersey Fancy,Black,Solid,1.0021505898470964,23.85748122961213,25.0,52,true,true,true,true
37,Ladieswear || Sweater || Jersey Basic || Black || Solid,Ladieswear,Sweater,Jersey Basic,Black,Solid,0.9961191983770056,23.70682911467321,2.5384615384615383,52,false,true,true,false
38,Divided || Hoodie || Jersey Fancy || Black || Placement print,Divided,Hoodie,Jersey Fancy,Black,Placement print,1.4167411554344194,23.632731880090095,2.923076923076923,52,false,true,true,false
39,"Ladieswear || Sweater || Under-, Nightwear || Beige || Melange",Ladieswear,Sweater,"Under-, Nightwear",Beige,Melange,0.988503847853479,23.616919592338412,4.0,52,false,true,true,false
40,"Ladieswear || Unknown || Under-, Nightwear || Black || Solid",Ladieswear,Unknown,"Under-, Nightwear",Black,Solid,1.1205818055086179,23.415988853760673,8.692307692307692,52,false,true,true,false
41,"Ladieswear || Underwear body || Under-, Nightwear || Black || Lace",Ladieswear,Underwear body,"Under-, Nightwear",Black,Lace,1.9701868531480415,23.217003811830832,0.8461538461538461,37,false,true,true,false
42,Sport || T-shirt || Jersey Fancy || Pink || Solid,Sport,T-shirt,Jersey Fancy,Pink,Solid,1.8674036990682799,23.128230520475977,0.46153846153846156,45,false,true,true,false
43,Ladieswear || Leggings/Tights || Socks and Tights || Black || Solid,Ladieswear,Leggings/Tights,Socks and Tights,Black,Solid,1.0475402226394388,22.855420734746108,19.076923076923077,52,true,true,true,true
44,Sport || Top || Jersey Fancy || Black || Melange,Sport,Top,Jersey Fancy,Black,Melange,1.0620223250741612,22.72169401929239,4.384615384615385,52,false,true,true,false
45,Sport || Hoodie || Jersey Fancy || Black || Solid,Sport,Hoodie,Jersey Fancy,Black,Solid,1.0686199940474224,22.674625083878237,1.5384615384615385,43,false,true,true,false
46,Divided || Trousers || Trousers Denim || Green || Denim,Divided,Trousers,Trousers Denim,Green,Denim,1.1744805927047979,22.661448988365244,4.3076923076923075,52,false,true,true,false
47,Ladieswear || Top || Knitwear || Beige || Melange,Ladieswear,Top,Knitwear,Beige,Melange,1.4877712638182752,22.5746328052082,2.6923076923076925,52,false,true,true,false
48,Ladieswear || Socks || Socks and Tights || White || Solid,Ladieswear,Socks,Socks and Tights,White,Solid,1.115303989247024,22.416843819588703,9.384615384615385,52,false,true,true,false
49,"Ladieswear || Pyjama set || Under-, Nightwear || Black || Contrast",Ladieswear,Pyjama set,"Under-, Nightwear",Black,Contrast,1.4350260349176258,22.26589899776912,1.1538461538461537,32,false,true,true,false
50,Ladieswear || Trousers || Trousers || Black || Check,Ladieswear,Trousers,Trousers,Black,Check,1.1457951205505033,21.87076963603352,14.538461538461538,52,true,true,true,true
51,Divided || Trousers || Trousers || Grey || Solid,Divided,Trousers,Trousers,Grey,Solid,1.1367022022153193,21.69013754898573,15.0,52,true,true,true,true
52,Ladieswear || Shirt || Blouses || Black || Solid,Ladieswear,Shirt,Blouses,Black,Solid,1.0753639967860382,21.559440022702386,10.923076923076923,52,true,true,true,true
53,Ladieswear || Sweater || Knitwear || White || Stripe,Ladieswear,Sweater,Knitwear,White,Stripe,1.305095379756735,21.42582231980127,4.3076923076923075,52,false,true,true,false
54,Ladieswear || Skirt || Jersey Basic || Black || Solid,Ladieswear,Skirt,Jersey Basic,Black,Solid,1.0213635666711671,21.372565208769576,1.1538461538461537,52,false,true,true,false
55,Ladieswear || Shirt || Blouses || White || Solid,Ladieswear,Shirt,Blouses,White,Solid,1.0583949556375072,21.31616212269963,42.23076923076923,52,true,true,true,true
56,Sport || Top || Jersey Fancy || Black || Solid,Sport,Top,Jersey Fancy,Black,Solid,0.983271364455054,21.286586364663307,16.692307692307693,52,true,true,true,true
57,Divided || Top || Jersey Basic || Black || Solid,Divided,Top,Jersey Basic,Black,Solid,1.1956883892284897,21.271058715676716,12.23076923076923,52,true,true,true,true
58,Divided || Hoodie || Jersey Fancy || Red || Placement print,Divided,Hoodie,Jersey Fancy,Red,Placement print,3.316549157853505,21.250545216666467,0.23076923076923078,10,false,true,false,false
59,Divided || Cardigan || Knitwear || Black || Solid,Divided,Cardigan,Knitwear,Black,Solid,1.1931270420634323,21.242724726189184,7.153846153846154,52,false,true,true,false
60,Sport || Vest top || Jersey Fancy || Black || Solid,Sport,Vest top,Jersey Fancy,Black,Solid,0.9804513816816157,21.217579377347736,20.46153846153846,52,true,true,true,true
61,Divided || Hoodie || Jersey Basic || White || Solid,Divided,Hoodie,Jersey Basic,White,Solid,1.0759862234745123,21.172040419408578,2.8461538461538463,52,false,true,true,false
62,Ladieswear || Blazer || Dressed || Beige || Solid,Ladieswear,Blazer,Dressed,Beige,Solid,1.0127315050486387,21.09373161425064,11.461538461538462,52,true,true,true,true
63,Ladieswear || Sweater || Jersey Basic || Beige || Solid,Ladieswear,Sweater,Jersey Basic,Beige,Solid,1.0758689436080517,20.976689019450674,2.8461538461538463,52,false,true,true,false
64,Ladieswear || Vest top || Jersey Basic || Black || Solid,Ladieswear,Vest top,Jersey Basic,Black,Solid,1.1822563764926821,20.797504478987346,22.23076923076923,52,true,true,true,true
65,Sport || Bra || Jersey Fancy || Black || Solid,Sport,Bra,Jersey Fancy,Black,Solid,1.1506855383561163,20.725271267891564,19.0,52,true,true,true,true
66,Sport || Hoodie || Jersey Fancy || Pink || Solid,Sport,Hoodie,Jersey Fancy,Pink,Solid,1.138337361278942,20.66062912050333,0.6153846153846154,45,false,true,true,false
67,Sport || T-shirt || Jersey Fancy || Black || Melange,Sport,T-shirt,Jersey Fancy,Black,Melange,1.0332531676815793,20.647004941501432,6.923076923076923,52,false,true,true,false
68,Divided || Trousers || Trousers || Blue || Solid,Divided,Trousers,Trousers,Blue,Solid,1.0747673307524204,20.57855963407169,55.15384615384615,52,true,true,true,true
69,"Ladieswear || Pyjama set || Under-, Nightwear || Mole || Melange",Ladieswear,Pyjama set,"Under-, Nightwear",Mole,Melange,,20.56580291340402,3.769230769230769,43,false,false,true,false
70,Ladieswear || Trousers || Trousers || Black || Denim,Ladieswear,Trousers,Trousers,Black,Denim,0.9294422150453886,20.523373985699283,9.846153846153847,52,false,true,true,false
71,Sport || T-shirt || Jersey Fancy || Black || Solid,Sport,T-shirt,Jersey Fancy,Black,Solid,0.8686031363729576,20.299859837475523,6.076923076923077,52,false,true,true,false
72,Divided || Trousers || Trousers Denim || Black || Solid,Divided,Trousers,Trousers Denim,Black,Solid,1.19300834416875,20.283304692323746,2.923076923076923,52,false,true,true,false
73,Ladieswear || Blazer || Dressed || Beige || Melange,Ladieswear,Blazer,Dressed,Beige,Melange,0.7288972256300361,20.02944007495651,2.6923076923076925,52,false,false,true,false
74,Ladieswear || Cardigan || Knitwear || Red || Solid,Ladieswear,Cardigan,Knitwear,Red,Solid,1.5268728528599675,19.93905600581843,2.230769230769231,52,false,true,true,false
75,Ladieswear || Cardigan || Knitwear || Grey || Melange,Ladieswear,Cardigan,Knitwear,Grey,Melange,1.4293431215646817,19.917811161207965,11.76923076923077,52,true,true,true,true
76,Ladieswear || Trousers || Trousers || Grey || Denim,Ladieswear,Trousers,Trousers,Grey,Denim,0.9998630389624533,19.902746616449473,15.76923076923077,52,true,true,true,true
77,Menswear || Sweater || Jersey Basic || White || Solid,Menswear,Sweater,Jersey Basic,White,Solid,1.2049800190496505,19.8388810472083,3.0,52,false,true,true,false
78,Ladieswear || Hoodie || Jersey Basic || Grey || Melange,Ladieswear,Hoodie,Jersey Basic,Grey,Melange,1.0197187804789944,19.75666823679623,4.0,52,false,true,true,false
79,Ladieswear || Sweater || Knitwear || Khaki green || Solid,Ladieswear,Sweater,Knitwear,Khaki green,Solid,1.2637244235629128,19.73927686509989,6.076923076923077,52,false,true,true,false
80,Menswear || Sweater || Jersey Basic || Black || Solid,Menswear,Sweater,Jersey Basic,Black,Solid,1.1901236691976993,19.62339698429255,3.1538461538461537,52,false,true,true,false
81,Divided || Shirt || Blouses || Red || Check,Divided,Shirt,Blouses,Red,Check,1.0469902105587254,19.50761967612777,0.8461538461538461,48,false,true,true,false
82,Divided || Shirt || Blouses || Black || Check,Divided,Shirt,Blouses,Black,Check,1.0205260013074358,19.396344996290896,1.0769230769230769,46,false,true,true,false
83,Divided || Unknown || Trousers Denim || Blue || Denim,Divided,Unknown,Trousers Denim,Blue,Denim,,19.38347155781727,3.4,10,false,false,false,false
84,Ladieswear || Blazer || Dressed || Green || Solid,Ladieswear,Blazer,Dressed,Green,Solid,0.9831062180854857,19.297176616883366,2.5384615384615383,52,false,true,true,false
85,Divided || Leggings/Tights || Jersey Basic || Black || Contrast,Divided,Leggings/Tights,Jersey Basic,Black,Contrast,0.9569646272069153,19.19779094920597,3.4615384615384617,52,false,true,true,false
86,Divided || Trousers || Trousers Denim || Black || Denim,Divided,Trousers,Trousers Denim,Black,Denim,1.0120294667156313,19.09946744505252,36.38461538461539,52,true,true,true,true
87,Divided || Trousers || Trousers || Black || Solid,Divided,Trousers,Trousers,Black,Solid,1.068237345381699,19.066026353417815,48.76923076923077,52,true,true,true,true
88,Divided || Dress || Jersey Basic || Black || Solid,Divided,Dress,Jersey Basic,Black,Solid,1.308007374765265,18.931747132235127,25.384615384615383,52,true,true,true,true
89,Menswear || Hoodie || Jersey Basic || White || Solid,Menswear,Hoodie,Jersey Basic,White,Solid,1.1084713431024018,18.890580160860313,2.3076923076923075,52,false,true,true,false
90,Sport || Leggings/Tights || Jersey Fancy || Black || Mesh,Sport,Leggings/Tights,Jersey Fancy,Black,Mesh,1.0671603359104542,18.680719739712057,5.076923076923077,52,false,true,true,false
91,Ladieswear || Blouse || Blouses || Black || Lace,Ladieswear,Blouse,Blouses,Black,Lace,0.588135797195556,18.641868027427346,2.6923076923076925,51,false,false,true,false
92,Ladieswear || Socks || Socks and Tights || Black || Solid,Ladieswear,Socks,Socks and Tights,Black,Solid,1.0068403746424734,18.532743118008142,20.153846153846153,52,true,true,true,true
93,Ladieswear || Sweater || Knitwear || Green || Solid,Ladieswear,Sweater,Knitwear,Green,Solid,0.9648809044793638,18.47829716364268,8.153846153846153,52,false,true,true,false
94,Ladieswear || Sweater || Jersey Basic || White || Solid,Ladieswear,Sweater,Jersey Basic,White,Solid,0.9510312491959602,18.42187058554724,2.8461538461538463,52,false,true,true,false
95,"Ladieswear || Trousers || Under-, Nightwear || Black || Solid",Ladieswear,Trousers,"Under-, Nightwear",Black,Solid,1.0925614984845249,18.319850483913758,1.5384615384615385,52,false,true,true,false
96,Divided || T-shirt || Jersey Basic || Black || Solid,Divided,T-shirt,Jersey Basic,Black,Solid,1.0494347482621826,18.284831025033892,19.384615384615383,52,true,true,true,true
97,Divided || Sweater || Jersey Basic || Grey || Melange,Divided,Sweater,Jersey Basic,Grey,Melange,1.1237410653138638,18.2036388676685,2.6153846153846154,52,false,true,true,false
98,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Dot",Ladieswear,Underwear bottom,"Under-, Nightwear",Black,Dot,1.1670162991436588,18.118991883705476,3.5384615384615383,52,false,true,true,false
99,Ladieswear || T-shirt || Jersey Basic || Black || All over pattern,Ladieswear,T-shirt,Jersey Basic,Black,All over pattern,1.0296470013996724,18.09756700133839,2.0,52,false,true,true,false
100,"Ladieswear || Pyjama bottom || Under-, Nightwear || Grey || Melange",Ladieswear,Pyjama bottom,"Under-, Nightwear",Grey,Melange,2.280513407767917,18.07497326701112,1.5384615384615385,25,false,true,false,false
101,Divided || Sweater || Knitwear || Green || Solid,Divided,Sweater,Knitwear,Green,Solid,1.267501852634488,18.023763854850404,3.8461538461538463,52,false,true,true,false
102,Ladieswear || Cardigan || Knitwear || Mole || Melange,Ladieswear,Cardigan,Knitwear,Mole,Melange,0.9226032067941218,17.944332180234834,6.3076923076923075,52,false,true,true,false
103,Ladieswear || Top || Jersey Fancy || Black || All over pattern,Ladieswear,Top,Jersey Fancy,Black,All over pattern,0.8787491349384804,17.86892158824342,8.461538461538462,52,false,true,true,false
104,Ladieswear || Blazer || Dressed || Black || Other structure,Ladieswear,Blazer,Dressed,Black,Other structure,1.3829405449817271,17.808258029623104,3.3076923076923075,52,false,true,true,false
105,Ladieswear || Blazer || Dressed || White || Check,Ladieswear,Blazer,Dressed,White,Check,1.0077404350265045,17.791295013213073,1.6153846153846154,31,false,true,true,false
106,Ladieswear || Sweater || Knitwear || Beige || Melange,Ladieswear,Sweater,Knitwear,Beige,Melange,0.9963531924100005,17.783148281064506,20.846153846153847,52,true,true,true,true
107,Ladieswear || Blazer || Dressed || Red || Solid,Ladieswear,Blazer,Dressed,Red,Solid,1.1604137107527255,17.753266602090566,3.1538461538461537,52,false,true,true,false
108,Ladieswear || Shirt || Blouses || Green || Solid,Ladieswear,Shirt,Blouses,Green,Solid,1.1965956760745056,17.679164820650517,3.8461538461538463,52,false,true,true,false
109,Divided || Trousers || Trousers || Black || All over pattern,Divided,Trousers,Trousers,Black,All over pattern,2.1701186877348033,17.6181747355922,7.384615384615385,52,false,true,true,false
110,Divided || Top || Jersey Basic || White || Solid,Divided,Top,Jersey Basic,White,Solid,1.0937324802929989,17.607008347027804,10.076923076923077,52,true,true,true,true
111,Ladieswear || Vest top || Jersey Basic || White || Solid,Ladieswear,Vest top,Jersey Basic,White,Solid,1.220646968524758,17.490661279442982,18.153846153846153,52,true,true,true,true
112,Ladieswear || Cardigan || Knitwear || White || Solid,Ladieswear,Cardigan,Knitwear,White,Solid,1.3034129744667409,17.412862768391935,5.3076923076923075,52,false,true,true,false
113,Ladieswear || Blazer || Dressed || Grey || Melange,Ladieswear,Blazer,Dressed,Grey,Melange,1.3376715103295698,17.407525120316887,1.1538461538461537,24,false,true,false,false
114,Ladieswear || Blazer || Dressed || Khaki green || Solid,Ladieswear,Blazer,Dressed,Khaki green,Solid,1.0396690555745347,17.335463474621733,4.3076923076923075,52,false,true,true,false
115,Ladieswear || Hoodie || Jersey Basic || White || Solid,Ladieswear,Hoodie,Jersey Basic,White,Solid,1.0991552501422508,16.972224342485887,1.6153846153846154,51,false,true,true,false
116,Ladieswear || T-shirt || Jersey Fancy || Unknown || Front print,Ladieswear,T-shirt,Jersey Fancy,Unknown,Front print,1.013107194097151,16.96852645014743,0.23076923076923078,4,false,true,false,false
117,Sport || Leggings/Tights || Jersey Fancy || Black || Placement print,Sport,Leggings/Tights,Jersey Fancy,Black,Placement print,0.9835448611357471,16.817129613343766,6.769230769230769,52,false,true,true,false
118,Divided || Sweater || Knitwear || Blue || Solid,Divided,Sweater,Knitwear,Blue,Solid,1.0885032451386778,16.79978440304649,1.2307692307692308,45,false,true,true,false
119,Ladieswear || T-shirt || Jersey Basic || White || All over pattern,Ladieswear,T-shirt,Jersey Basic,White,All over pattern,1.0353334212492857,16.79908596980129,2.3076923076923075,52,false,true,true,false
120,Ladieswear || Blazer || Dressed || Beige || Check,Ladieswear,Blazer,Dressed,Beige,Check,1.3234456088508226,16.698000300064002,4.461538461538462,52,false,true,true,false
121,Sport || Trousers || Jersey Fancy || Black || Solid,Sport,Trousers,Jersey Fancy,Black,Solid,1.065616292409202,16.632901015708644,4.384615384615385,52,false,true,true,false
122,"Ladieswear || Sweater || Under-, Nightwear || Grey || Melange",Ladieswear,Sweater,"Under-, Nightwear",Grey,Melange,1.2723377445005377,16.601907554316117,7.384615384615385,52,false,true,true,false
123,Ladieswear || Sweater || Knitwear || White || Melange,Ladieswear,Sweater,Knitwear,White,Melange,0.9394983477688691,16.554779719066225,5.846153846153846,52,false,true,true,false
124,Divided || T-shirt || Jersey Basic || White || Solid,Divided,T-shirt,Jersey Basic,White,Solid,1.1232535349095492,16.522018817245478,22.923076923076923,52,true,true,true,true
125,Ladieswear || Blazer || Dressed || Beige || Other structure,Ladieswear,Blazer,Dressed,Beige,Other structure,1.0444385544018915,16.48896998265878,6.153846153846154,52,false,true,true,false
126,Divided || Sweater || Jersey Basic || Mole || Solid,Divided,Sweater,Jersey Basic,Mole,Solid,0.9361116276791707,16.36749032787834,2.8461538461538463,52,false,true,true,false
127,Ladieswear || Trousers || Trousers || Black || Solid,Ladieswear,Trousers,Trousers,Black,Solid,1.0843373198419592,16.331367615737868,145.23076923076923,52,true,true,true,true
128,Menswear || Hoodie || Jersey Basic || Beige || Solid,Menswear,Hoodie,Jersey Basic,Beige,Solid,1.205569338122466,16.292911271615328,2.923076923076923,52,false,true,true,false
129,Ladieswear || Blazer || Dressed || Mole || Solid,Ladieswear,Blazer,Dressed,Mole,Solid,1.0732719010078404,16.283169907455704,2.3846153846153846,48,false,true,true,false
130,Ladieswear || Blazer || Dressed || Blue || Solid,Ladieswear,Blazer,Dressed,Blue,Solid,1.0304008309353445,16.25726527025839,5.923076923076923,52,false,true,true,false
131,"Ladieswear || Underwear bottom || Under-, Nightwear || Red || Solid",Ladieswear,Underwear bottom,"Under-, Nightwear",Red,Solid,1.3770306398465844,16.25523950275885,14.923076923076923,52,true,true,true,true
132,Divided || Sweater || Knitwear || Black || Stripe,Divided,Sweater,Knitwear,Black,Stripe,1.0118657127606454,16.13534029723502,0.8461538461538461,35,false,true,true,false
133,Sport || Bra || Jersey Fancy || Pink || Solid,Sport,Bra,Jersey Fancy,Pink,Solid,1.4261898252567788,16.082438109352847,6.0,52,false,true,true,false
134,Ladieswear || Top || Knitwear || Grey || Melange,Ladieswear,Top,Knitwear,Grey,Melange,1.061764482986348,15.940614698540585,0.5384615384615384,39,false,true,true,false
135,Divided || Sweater || Knitwear || Blue || Stripe,Divided,Sweater,Knitwear,Blue,Stripe,1.3816219549799564,15.908691520170077,2.1538461538461537,51,false,true,true,false
136,Ladieswear || Trousers || Trousers Denim || Black || Solid,Ladieswear,Trousers,Trousers Denim,Black,Solid,0.9176542497268103,15.84163500462904,2.5384615384615383,52,false,true,true,false
137,Ladieswear || Sweater || Jersey Basic || Grey || Solid,Ladieswear,Sweater,Jersey Basic,Grey,Solid,1.0376794217687075,15.793456174773716,2.3846153846153846,37,false,true,true,false
138,Ladieswear || Sweater || Knitwear || Mole || Melange,Ladieswear,Sweater,Knitwear,Mole,Melange,1.333899668107995,15.793351132507922,13.153846153846153,52,true,true,true,true
139,Ladieswear || Bodysuit || Jersey Basic || Black || Solid,Ladieswear,Bodysuit,Jersey Basic,Black,Solid,1.361775202456188,15.768322508184717,4.6923076923076925,52,false,true,true,false
140,Sport || Top || Jersey Fancy || White || Solid,Sport,Top,Jersey Fancy,White,Solid,1.0657648594063387,15.760346777969396,2.0,52,false,true,true,false
141,Sport || Leggings/Tights || Jersey Fancy || Khaki green || Solid,Sport,Leggings/Tights,Jersey Fancy,Khaki green,Solid,,15.749160645355886,4.076923076923077,40,false,false,true,false
142,Ladieswear || Trousers || Trousers || Mole || Solid,Ladieswear,Trousers,Trousers,Mole,Solid,0.8962716516197953,15.607809837062291,5.538461538461538,52,false,true,true,false
143,Sport || T-shirt || Jersey Fancy || Grey || Melange,Sport,T-shirt,Jersey Fancy,Grey,Melange,1.2282119576960322,15.606911864083592,6.846153846153846,52,false,true,true,false
144,Ladieswear || Bodysuit || Jersey Fancy || Black || Lace,Ladieswear,Bodysuit,Jersey Fancy,Black,Lace,1.158183619835423,15.604138505571495,1.7692307692307692,47,false,true,true,false
145,Ladieswear || Jacket || Outdoor || White || Solid,Ladieswear,Jacket,Outdoor,White,Solid,1.5641379026536912,15.491891656654719,6.230769230769231,52,false,true,true,false
146,Divided || Sweater || Knitwear || Black || Solid,Divided,Sweater,Knitwear,Black,Solid,1.1494720839468857,15.43790984773269,22.846153846153847,52,true,true,true,true
147,Sport || Leggings/Tights || Jersey Fancy || Grey || Solid,Sport,Leggings/Tights,Jersey Fancy,Grey,Solid,0.8935517024658953,15.28147484601455,3.5384615384615383,52,false,true,true,false
148,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Lace",Ladieswear,Underwear bottom,"Under-, Nightwear",Black,Lace,1.103159158057839,15.220017589105176,7.615384615384615,52,false,true,true,false
149,"Ladieswear || Pyjama bottom || Under-, Nightwear || Grey || Solid",Ladieswear,Pyjama bottom,"Under-, Nightwear",Grey,Solid,2.3691526832095304,15.217315880766343,3.4615384615384617,51,false,true,true,false
150,Ladieswear || Cardigan || Knitwear || Beige || Melange,Ladieswear,Cardigan,Knitwear,Beige,Melange,1.3188838403303391,15.190514051352178,5.846153846153846,52,false,true,true,false
151,Divided || Hoodie || Jersey Basic || Mole || Solid,Divided,Hoodie,Jersey Basic,Mole,Solid,0.9884524334357069,14.9989660733629,2.3076923076923075,52,false,true,true,false
152,"Ladieswear || Underwear bottom || Under-, Nightwear || Black || Solid",Ladieswear,Underwear bottom,"Under-, Nightwear",Black,Solid,1.149635376312889,14.925374854266614,103.61538461538461,52,true,true,true,true
153,"Divided || Underwear bottom || Under-, Nightwear || Black || Melange",Divided,Underwear bottom,"Under-, Nightwear",Black,Melange,1.0044331690766748,14.894566628147814,1.4615384615384615,52,false,true,true,false
