role,style_key,article_id,units_sold_last_26w,local_image_path,fetch_success
margin_ref_01,Divided || Trousers || Trousers || Blue || Solid,706016002,6770,data\images\0706016002.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,876487002,1434,data\images\0876487002.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,618287014,1323,data\images\0618287014.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,759423003,659,data\images\0759423003.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,637566007,619,data\images\0637566007.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,855249009,615,data\images\0855249009.jpg,true
margin_ref_14,Ladieswear || Dress || Dresses Ladies || Pink || Solid,891542003,609,data\images\0891542003.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",793506019,205,data\images\0793506019.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",652356055,193,data\images\0652356055.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",697920059,148,data\images\0697920059.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",564310029,146,data\images\0564310029.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",564310030,136,data\images\0564310030.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",564310026,131,data\images\0564310026.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",767577046,126,data\images\0767577046.jpg,true
margin_ref_15,"Menswear || Underwear bottom || Under-, Nightwear || Blue || All over pattern",767577035,107,data\images\0767577035.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,880749002,1952,data\images\0880749002.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,797078011,1328,data\images\0797078011.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,859081002,1150,data\images\0859081002.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,872813002,756,data\images\0872813002.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,797078018,726,data\images\0797078018.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,850622001,499,data\images\0850622001.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,805947003,484,data\images\0805947003.jpg,true
margin_ref_16,Divided || Dress || Dresses Ladies || Beige || Solid,866755001,318,data\images\0866755001.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",854322001,873,data\images\0854322001.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",846015001,637,data\images\0846015001.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",723469018,510,data\images\0723469018.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",616708006,440,data\images\0616708006.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",820899001,432,data\images\0820899001.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",825771004,383,data\images\0825771004.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",796454005,346,data\images\0796454005.jpg,true
margin_ref_17,"Ladieswear || Bra || Under-, Nightwear || Grey || Melange",567532004,271,data\images\0567532004.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",802529001,953,data\images\0802529001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",914404001,830,data\images\0914404001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",732206001,730,data\images\0732206001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",827971001,711,data\images\0827971001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",860285001,683,data\images\0860285001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",810587001,639,data\images\0810587001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",818320001,524,data\images\0818320001.jpg,true
margin_ref_18,"Ladieswear || Underwear body || Under-, Nightwear || Black || Solid",813145001,507,data\images\0813145001.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,878013004,1953,data\images\0878013004.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,817181005,1335,data\images\0817181005.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,889379006,1262,data\images\0889379006.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,859400007,666,data\images\0859400007.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,856808006,561,data\images\0856808006.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,866590001,473,data\images\0866590001.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,882454001,399,data\images\0882454001.jpg,true
margin_ref_19,Ladieswear || Dress || Dresses Ladies || Beige || Solid,889010001,372,data\images\0889010001.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,749699002,6243,data\images\0749699002.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,572797002,4087,data\images\0572797002.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,832481002,2764,data\images\0832481002.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,832732002,1975,data\images\0832732002.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,907696001,1656,data\images\0907696001.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,845032001,1547,data\images\0845032001.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,875469002,1505,data\images\0875469002.jpg,true
margin_ref_20,Ladieswear || Vest top || Jersey Fancy || White || Solid,534164001,1193,data\images\0534164001.jpg,true
